SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median
EL DORADO HILLS,13795.7,-24.6,165548.4,-295.2,6773.0870623650135,36,2,37.92175978195998,100.0,0.0,4.26299321308504,2.25122966326145,,146439.5,33927.0,1,1
EL MONTE,119920.022953,-178.22174522100002,696330.716456,-1035.6375139600002,121529.545196707,40,1,0.0,100.0,1.0,53.5752122517222,92.07970740320341,219130286.0,52436.0,98427.0,1,1
EL SEGUNDO,17577.903168,-11.789317814,87889.51584000001,-58.946589071999995,48444.04814812829,4,1,0.0,100.0,0.166666666666667,15.566122555675301,26.567032412662396,194778081.0,109929.0,16731.0,6,6
EL SOBRANTE,251044.48888122,-2394.44569,3049690.966570998,-30108.768084299994,192640.95672882567,121,2,22.08181958873331,100.0,0.0,15.697904540208096,27.1850170261067,,85388.5,21101.0,1,1
EMERYVILLE,349156.84919789986,-843.3710799999999,3993190.0817547995,-11097.9661276,230760.68839503225,799,2,3.6382752159181946,100.0,0.4,35.6832388829894,69.5863286669189,134910892.0,79679.0,37271.0,1,1
ESCALON,24555.36,-46.56,308104.32,-744.96,13850.468435570847,3,1,0.0,100.0,0.5,35.979406520556296,69.3719258418464,10279976.0,69036.0,13379.0,5,5
EUREKA,1900805.269083002,-20811.014527417,16315822.289294396,-171177.84297163002,1633526.7412309188,2795,3,3.5040656159415686,100.0,0.0,15.294096316976301,25.9175179720016,78488452.0,52197.5,49398.0,4,4
FAIRFAX,193260.2195362002,-1062.44523408,2300939.8439839976,-12233.1496904,156145.02988116708,791,2,77.05296065526406,100.0,0.0,3.84907286602061,1.71522260058015,27889662.0,111060.0,9682.0,2,2
FAIRFIELD,3668954.3507218654,-17040.581383859022,34711597.86580853,-161494.15039467966,1821874.7267320284,924,4,3.531775801805681,100.0,0.0,24.524973014116398,48.839702358431104,304222431.0,80596.5,119471.0,1,1
FARMERSVILLE,12855.747828,-44.58975598,64278.73914000001,-222.9487799,47170.414834190036,2,1,0.0,100.0,1.0,39.8990521326372,75.8355404212385,14207660.0,32096.0,5422.0,1,1
FELTON,241666.69300000003,-1283.7525999999998,2228896.90912,-6371.264229999999,125644.75256846608,18,1,26.581149990232838,100.0,0.0,6.36814857267937,5.41051835035944,,98578.0,4781.0,1,1
FERNDALE,74572.786656,-806.17697286,708050.67632,-6298.541723619999,55313.63737724995,164,2,0.0,100.0,0.0,16.035750813591303,27.8345314667676,2294478.0,50896.0,3309.0,10,10
FILLMORE,15749.35488,-23.418605951999997,78746.7744,-117.09302976,35027.8519853025,1,1,0.0,100.0,0.0,30.0251996412576,59.57245554294371,18597707.0,75633.5,19999.0,4,4
FIREBAUGH,119501.4072,-13.814536,1431579.552,-148.99963200000005,51464.87899765704,212,2,0.0,100.0,1.0,41.5319312953489,78.2191953588094,10261058.0,50556.0,11116.0,9,10
FOLSOM,43074.0,0.0,516888.0,0.0,20014.58191837048,191,2,0.0,100.0,0.0,5.69767680957582,4.086265607264471,223853178.0,115527.5,78159.0,1,1
FOREST RANCH,279.0,0.0,3348.0,0.0,14.2829239724131,1,1,0.0,100.0,0.0,13.4546082358919,21.137596165973,,109444.0,4753.0,2,2
FORESTHILL,878.0,0.0,10536.0,0.0,43.478162178418295,3,1,0.0,100.0,0.0,11.5830352804143,16.3828982217177,,79802.0,6903.0,2,2
FORESTVILLE,15331.78218458,-206.02421,176145.86964380005,-2354.924264,6898.796940918337,11,1,0.0,100.0,0.0,10.3775451077883,14.1947282128894,,66913.5,8376.0,2,2
FORT BRAGG,69661.431522,-447.83261678299993,550452.0507500999,-4077.28539462,53340.16676728752,15,1,0.0,100.0,0.0,21.1912669703202,41.3040736536764,20389620.0,49522.0,12078.0,4,4
FORTUNA,289304.91093679995,1005.113955581,3099440.798069,47008.90693092001,358065.1024402415,158,1,10.264150644068634,100.0,0.0,23.5242697857525,45.9200403581789,17571716.0,48872.5,9342.0,4,4
FOUNTAIN VALLEY,26201.562500000004,0.0,314418.75,0.0,9423.693049150783,7,1,0.0,100.0,0.0,23.4596708930373,46.4371295245302,137721744.0,93454.0,53847.0,1,1
FOWLER,84149.10122699999,-193.25200010900002,848921.2216499998,-1729.784910542,51443.672210063436,19,1,70.70799133980516,100.0,1.0,51.3261088602299,90.2005297010972,13479812.0,47406.0,5177.0,4,4
FREMONT,4189145.5506879087,-6263.748833706012,48321489.98923919,-64324.2396542246,2351006.555350034,14231,3,59.06329147127301,100.0,0.0,16.557274788702,29.2092319334091,705689160.0,135033.5,227727.0,1,1
FRENCH CAMP,112990.17200000006,-96.26430000000003,925086.284,-1505.9220000000007,60798.155469514684,151,1,0.0,100.0,1.0,56.146220021606396,94.0850044141758,,53250.0,6299.0,1,1
FRESNO,5874454.691619996,-8106.654178723003,60333431.43987596,-90623.34044642096,3002237.4604069605,684,5,7.372681682370567,100.0,0.664,46.1699524896131,84.4494892167991,849627432.0,43839.0,591168.0,2,2
FULLERTON,1050721.5500000007,0.0,11475321.449999996,0.0,530717.7887895927,90,1,19.27491449805957,100.0,0.2,27.111497584931804,54.1241013999244,230208631.0,84479.0,155957.0,1,1
GARBERVILLE,20410.4792,-122.26780017799999,188149.116,-709.83120109,6670.862372848967,62,2,0.0,100.0,0.0,10.0760366999651,13.456930256022199,,65283.0,3241.0,10,10
GARDENA,13146.653519999998,-7.5593257729999985,65733.2676,-37.796628870000006,42208.281042329196,8,1,0.0,100.0,0.8,56.2954421370201,94.2048177575987,142671233.0,56535.0,79331.0,1,1
GEORGETOWN,6140.94708,-28.82142,73691.36496,-345.85704,5053.380546761649,7,2,0.0,100.0,0.0,14.0868211617028,22.6762517341405,,64883.0,7911.0,2,2
GEYSERVILLE,93111.71766675,-645.8893400000002,971498.9354226,-6763.021795500003,31897.266299146395,13,1,0.0,100.0,0.0,15.512533595095501,26.421995207466306,,104792.0,3644.0,2,2
GILROY,2779159.0060000005,-7600.82463,24477914.34282,-62444.04319000002,1773220.9287184274,95,3,6.82374877708098,100.0,0.2,27.4546912384708,54.597048808172595,132694169.0,96547.5,62228.0,6,6
GLEN ELLEN,58889.130573,-468.67347,706849.6326573999,-5789.0759049,28515.955132817075,27,1,0.0,100.0,0.0,7.464265916973879,7.32753184512549,,117167.0,4782.0,4,4
GOLETA,60493.62236,-40.576266061000005,303241.40252799995,-203.42670375700004,136099.89137071458,19,1,0.0,100.0,0.0,7.72947084494689,7.78156135704376,79722144.0,96250.0,56967.0,1,1
GONZALES,102710.78,-4.212,1230176.4,-37.0656,15273.977385589043,361,2,0.0,100.0,0.0,26.192328294311,52.2260058014882,13714502.0,54205.0,5469.0,2,2
GRANITE BAY,3220.672,-19.367,45367.06880000001,-270.9328,5431.173093361839,5,1,0.0,100.0,0.0,5.2310106585778895,3.44305713204692,,136534.5,25063.0,1,1
GRASS VALLEY,735915.6256414999,-2095.3074404,8273818.6886024,-21246.03184230999,504653.9774911193,204,4,70.46580578944814,100.0,0.0,11.8711295215193,17.467524277967,43207378.0,76103.5,47806.0,6,5
GREENBRAE,278.028,-6.101999999999999,2984.8759999999997,-63.3252,443.3790588941269,5,1,0.0,100.0,0.0,5.5881402530623685,3.9349224366250497,,194808.0,12130.0,1,1
GREENFIELD,382413.85658,-1301.2181999999998,3632486.892463,-9818.548254,160964.86265104945,541,2,4.6397182107151504,100.0,0.0,22.196177757479703,43.3976541808551,21125795.0,63827.0,18424.0,4,4
GROVER BEACH,178879.28874400005,-1107.853237653,1576795.9967738,-9370.142260138002,101869.03307019534,126,2,0.0,100.0,0.0,14.683622733698199,24.397780300163998,26760953.0,64127.5,13535.0,1,1
GUERNEVILLE,33654.989453999995,-73.02288,404951.1885254,-811.9340351999997,16502.99495993957,10,1,0.0,100.0,0.0,11.495387417868304,16.244166981965,,60331.0,7577.0,2,2
GUSTINE,149519.2052,-476.90904000000006,1922549.3424,-7585.308480000002,88486.65877125268,285,2,0.0,100.0,1.0,52.1336533982758,90.8941858998613,6580991.0,60521.0,8712.0,7,7
HACIENDA HEIGHTS,45187.506,-0.81,542250.072,-9.72,20846.162768369588,2,1,0.0,100.0,0.42857142857142894,34.040032623694,66.6036070122336,,85044.5,56972.0,1,1
HALF MOON BAY,55886.77600000001,-129.57399999999998,543599.9814899999,-853.3067699999998,16365.991262640922,172,1,64.9488155814618,100.0,0.0,16.1789372600633,28.509269769201694,46348862.0,145873.0,11860.0,4,4
HANFORD,115711.15868,-400.21143930000005,751473.588939,-2454.405255,345368.00200946664,97,3,0.0,100.0,0.384615384615385,38.953303554797294,74.3473325766175,83416244.0,55670.0,72726.0,6,6
HAWTHORNE,114878.475504,-40.38381141400001,745323.84792,-233.49867899400002,300698.0243222397,9,1,0.0,100.0,0.75,45.9489073336936,84.1026611174171,197009382.0,52779.5,104391.0,1,1
HAYWARD,2427577.6014394457,-18831.45080463298,25223738.00108135,-198652.48692432087,1694410.4781724797,1665,3,9.348900499460283,100.0,0.0555555555555556,29.5292983802132,58.601336864673996,467224536.0,81092.5,176116.0,1,1
HEALDSBURG,161079.47031999993,-1275.20623,1668600.8227899997,-13133.7680521,50696.12957731124,19,1,0.0,100.0,0.0,19.0824289678434,35.9944507504099,47630835.0,96324.0,19524.0,2,2
HEMET,54444.5518316,-52.88740581800001,548428.48364,-537.08204124,25563.48474257449,25,1,0.0,100.0,0.12,31.218981466779297,61.659730104679,125934873.0,41531.0,116515.0,1,1
HERCULES,257024.312702,-1600.4051400000005,2549406.7844080008,-16963.743755999996,165130.07047658105,51,1,0.0,100.0,0.0,18.3525723903719,34.153108840963604,35619267.0,122232.0,22381.0,1,1
HERMOSA BEACH,298583.434656,-21.501209985,3645690.34328,-107.460421924,539726.5328517059,48,1,80.89578060769698,100.0,0.0,5.84004235859885,4.36372808677008,85675375.0,136285.0,19539.0,1,1
HESPERIA,17875.581191999998,-39.547746000000004,89377.90596,-197.73873,60882.01473774541,4,1,0.0,100.0,0.0666666666666667,27.6335654581229,55.13936183629711,94458935.0,52117.0,102311.0,1,1
HOLLISTER,1595535.8617699994,-4590.279080050998,15481088.609790005,-39634.18966025601,931755.082670072,2295,3,32.298714927222946,100.0,0.0,31.8790873258475,62.920923193340904,69688403.0,91935.0,51064.0,7,7
HOOPA,18054.192000000006,-129.82339327900002,98037.84,-841.49596642,18058.98547325681,12,1,0.0,100.0,0.0,12.046452178909199,18.110732753184603,,40739.5,5686.0,10,10
HUNTINGTON BEACH,1958349.5479040002,-117.96124688499998,22335989.939519994,-633.1012344359998,1225646.0168907207,79,1,0.0,100.0,0.0238095238095238,12.4796790466399,18.9052843990415,484982227.0,98057.5,197574.0,1,1
HUNTINGTON PARK,51889.14,1383.84,155667.41999999998,4151.52,11283.9564144427,3,1,0.0,100.0,0.954545454545455,51.9755871776414,90.73023079833521,89389533.0,45434.0,74249.0,1,1
HURON,4217.2,-0.062,18516.996,-0.1674,2127.6793196056474,5,1,0.0,100.0,0.5,40.0165841774917,75.8418463866818,5279306.0,33216.5,8085.0,7,7
INDIAN WELLS,7804.710144000002,-1.3134756090000002,39023.550720000014,-6.567378047999999,100168.59540000012,7,1,0.0,100.0,0.0,7.92950902108071,9.5535376466137,61437788.0,92366.0,3942.0,1,1
INGLEWOOD,181450.259712,-29.116619834,2215377.89856,-145.58309917199998,638693.0972518277,36,1,0.0,100.0,0.65625,44.590602973018896,82.34960272417709,349011310.0,53807.5,131234.0,1,1
IONE,117771.43564,-895.2471500000001,1283081.746656,-9527.047799999998,89756.47295071633,19,1,0.0,100.0,0.0,27.926025844134198,55.7258166225249,6978794.0,66348.0,10220.0,3,3
IRVINE,487780.12599999906,0.0,5940373.511999994,0.0,402596.03468263854,212,2,0.0,100.0,0.0294117647058824,15.572820325088001,26.674233825198602,630558569.0,108943.0,261711.0,1,1
ISLETON,346697.39272600005,-626.95233075,3919739.69764,-5757.0843637,136127.09452717204,105,2,0.0,100.0,0.0,31.0173162136422,61.30659603985371,2432600.0,40395.0,1514.0,10,10
JACKSON,243215.506984,-1591.2884703170005,2726310.230785401,-17320.950145580005,210977.54830453085,49,2,0.0,100.0,0.0,23.257549086885295,45.756085256652796,8889475.0,65244.0,3152.0,7,7
JAMESTOWN,8894.70188,-32.070930867,66078.4594,-152.30595434399999,8761.571028208413,10,1,0.0,100.0,0.0,23.5008742902949,46.5254130407366,,61163.0,13181.0,5,4
KELSEYVILLE,83140.27333000001,-712.8111058210001,875541.6240859001,-7135.379184549999,69937.71934102762,24,1,0.0,100.0,0.0,15.4990509095312,26.5985622398789,,62384.5,9457.0,4,4
KERMAN,91387.226,-438.4197,1126471.0704,-5776.3872,27449.454097380807,243,2,0.0,100.0,1.0,46.0438331534453,84.3107579770463,15764892.0,61776.0,22144.0,6,6
KING CITY,1145487.8742400005,-3188.52106,9154528.000633,-24181.3694262,594362.9806543953,616,3,41.572108130582,100.0,0.0,26.324342782469202,52.5160802118805,19869920.0,48178.0,13528.0,4,4
KINGSBURG,102094.965,-74.34,1177214.78925,-731.5975800000001,17583.56895869093,443,2,0.0,100.0,0.666666666666667,43.1772773846103,80.35061167864801,17653091.0,62808.0,16545.0,4,4
LA HABRA,8207.1,57.6,131313.6,921.6,88671.79891679801,1,1,0.0,100.0,0.384615384615385,36.47332135002829,70.7403203430445,110309736.0,74688.0,64062.0,1,1
LA PALMA,258769.59593600003,-6.625837662,3024572.77968,-33.129188316,208343.2201070401,7,1,0.0,100.0,0.0,17.2886617666329,31.0505738428553,30352410.0,111169.0,14476.0,1,1
LAFAYETTE,58446.03400000005,-317.8552800000004,501580.88866000023,-3377.677932100001,50161.6941399437,96,1,47.781926861871604,100.0,0.0,3.73649516974859,1.6143271534872,46623270.0,188247.0,29449.0,1,1
LAKE ELSINORE,22505.59987200001,-19.595392992,112527.99935999999,-97.97696496,129450.92373614527,9,1,0.0,100.0,0.181818181818182,26.750617338610702,53.44936309749021,80070282.0,57461.0,76453.0,1,1
LAKEHEAD,18337.328999999998,-10.989000164,213032.709,-54.94500082,22228.644529648936,3,1,0.0,100.0,0.0,13.1427189258934,20.4817757598688,,49265.0,1670.0,2,2
LAKEPORT,332640.5221999999,-1010.5094137589996,3588125.8331142,-9337.386038197996,276142.09419902315,60,2,7.2618017003481174,100.0,0.0,21.679535330970502,42.4139235716988,14063969.0,48806.0,16029.0,4,4
LAKEWOOD,447427.3464559996,-20.942117571,4993115.6356,-111.68491603700001,289293.54909314704,94,1,54.19585152216298,100.0,0.111111111111111,21.4432562138325,41.713961407491496,110917660.0,93614.0,83312.0,1,1
LAMONT,195101.8783,-1216.1186959200004,1897053.9297456,-10254.113475302,81125.13247558901,50,1,0.0,100.0,0.33333333333333304,31.8177436918935,62.769580022701504,,43278.0,17003.0,1,1
LANCASTER,178206.47999999995,1314.0,786312.36,3942.0,59681.732913924025,4,1,0.0,100.0,0.0263157894736842,22.2693496911858,43.6120570059277,229597335.0,55375.5,183225.0,4,2
LARKSPUR,188624.002192,-1839.5207093999993,1613661.0077419996,-15151.575230999995,96243.40748463594,57,2,0.0,100.0,0.0,5.40625456558443,3.7079076806659104,55367046.0,122685.0,5857.0,1,1
LATHROP,162052.13399999993,-103.5321,1210631.5550000002,-1068.4620000000002,83907.66444180504,66,2,49.710234939496964,100.0,1.0,55.7089023499701,93.66881069491741,79758865.0,87149.0,28172.0,1,1
LATON,9009.884999999998,-38.853,106712.82,-404.0712,3099.815518364823,6,1,100.0,100.0,1.0,40.4218557224456,76.6553159288687,,37917.0,3407.0,10,10
LAWNDALE,38370.913056,-2.8670175070000004,440887.26528,-23.155087536,25762.238236692592,6,2,0.0,100.0,0.5,40.447061662589,76.5481145163325,41197250.0,60346.0,32819.0,1,1
LE GRAND,6734.21,0.0,71423.15999999999,0.0,4348.793788904362,6,2,0.0,100.0,1.0,39.483477140944,75.20494387690759,,48806.0,2345.0,10,10
LEMOORE,71359.0,0.0,856308.0,0.0,4635.430723109039,354,1,0.0,100.0,0.33333333333333304,35.1270223670186,68.5647622651028,22979971.0,58399.0,37546.0,3,2
LINCOLN,179791.36622000003,-182.15054,2146965.7826880002,-2063.300616,125289.31353416445,612,1,90.96556213662865,100.0,0.0,8.71910500089739,10.3039475343675,54217702.0,87333.0,52810.0,2,2
LINDEN,4926.4749999999985,-20.935080000000006,56895.04560000001,-230.05296,5196.594564520541,10,1,0.0,100.0,0.0,22.2607971311336,43.5868331441544,,87554.0,5944.0,10,10
LINDSAY,12880.356972000005,-44.67511202,64401.78486,-223.3755601,258237.24558294352,7,1,0.0,100.0,0.25,37.913411152736295,73.0167738680792,16787161.0,33603.0,18018.0,4,4
LITTLEROCK,19593.18,-76.23,235118.16,-914.76,10346.952184596088,2,1,0.0,100.0,0.0,22.9902450120275,45.2831378484046,,53484.5,14024.0,1,1
LIVE OAK,88710.0,0.0,1064520.0,0.0,5601.78561144359,424,1,0.0,100.0,0.0,27.4553170463271,54.7357800479253,8051602.0,59359.0,14220.0,2,2
LIVERMORE,311823.93962950003,-1041.77409577,2643530.093084,-7739.035576770002,158903.01058620555,64,3,0.08450996524588293,100.0,0.0,15.983596677720303,27.6831882961281,278185345.0,128963.0,99939.0,2,2
LIVINGSTON,108230.7,0.0,1295301.6,0.0,106110.94304939557,355,3,73.33494019873426,100.0,1.0,44.4721415961496,82.21717744986759,15642992.0,55500.0,18171.0,2,2
LOCKEFORD,59742.55404,-27.68274000000001,716910.64848,-332.19288,33293.88181526942,6,1,0.0,100.0,0.0,23.0756934054601,45.352503468281,,63287.0,2902.0,2,2
LOLETA,26910.7948,-356.6029531899998,345419.02792000014,-4468.372615899999,19397.09666723176,33,2,0.0,100.0,0.0,27.5470879018417,54.912347080338,,42407.0,4606.0,4,4
LOMPOC,53462.99000000001,-363.06,411121.6962,-1884.1419,16381.080751169182,78,2,0.0,100.0,0.0,19.930163480418397,38.1510909320217,54639791.0,66845.0,60288.0,4,4
LONG BEACH,6799532.550680996,1307.6568518130016,78451118.91805999,22194.600613075992,3395863.2401656425,1029,2,90.30723317188169,100.0,0.52212389380531,42.9152766079835,80.0542313028125,1371076040.0,60616.0,476520.0,1,50
LOOMIS,160948.9534,-966.04169,1764892.1553600002,-10082.308776,140994.0351993647,69,2,94.81073960770529,100.0,0.0,9.42844474718948,11.697565897338901,13260857.0,104185.0,16427.0,1,1
LOS ALTOS,157297.923,-1101.591000175,1117584.49356,-9577.093950879998,87197.97713837052,9,1,53.53166393378975,100.0,0.0,3.85707560192716,1.7278345314667698,103229406.0,215250.0,47624.0,1,1
LOS ANGELES,494326.19413954,0.0,4065967.904310698,0.0,6726397.770908668,402,26,0.0,3.5289555844427327,0.607594936708861,44.87034626414111,82.6396771345693,14545311557.0,48767.0,2484718.0,2,2
LOS BANOS,429352.388708,-914.148450423,4843347.962762799,-12041.152482120002,310585.4038560993,31,2,0.0,100.0,0.8,50.5343925987854,89.36814226258042,57896757.0,55719.0,43374.0,7,7
LOS GATOS,691857.2319999997,-963.055,6986038.938650001,-5364.53305,456849.45934938727,1385,1,52.832574804854964,100.0,0.0,4.91010588949814,3.0646992054483504,92527652.0,167875.0,49210.0,2,2
LOS OLIVOS,370.0,0.0,4440.0,0.0,27.864426152818197,2,1,0.0,100.0,0.0,9.15616622161136,11.1867826964308,,99583.0,2620.0,4,4
LOS OSOS,120177.44189999998,-1098.5551084869996,1541085.3202822004,-15014.81497405,60800.93650208855,93,2,0.0,100.0,0.0,6.53661211701511,5.72581662252491,,76587.0,15829.0,2,2
LOST HILLS,42239.3013,-95.665053648,445406.81850000005,-836.6056382400003,17663.68001376136,6,1,0.0,100.0,1.0,48.634558879961396,87.41329297515448,,35560.0,2635.0,10,10
LOWER LAKE,44483.09022,-76.07214,521038.34048340004,-791.1215658,31346.01776533457,8,1,0.0,100.0,0.0,17.7809443963952,32.4820279984866,,34567.5,7286.0,4,4
LYNWOOD,116518.20672499998,79.31069831800001,1347828.0290599996,1565.976714618,143098.65704634346,35,1,0.0,100.0,1.0,52.074628837898,90.8311262454282,98449996.0,57386.0,69438.0,1,1
MADERA,867068.2990000001,-1588.3511215229996,8585429.008170005,-18685.97106762799,398457.6617424107,582,3,7.312178345892702,100.0,0.615384615384615,41.8354678211335,78.55971749274809,80065732.0,59471.0,103572.0,2,2
MAGALIA,17489.88,0.0,203797.44,0.0,58160.980994294245,4,1,0.0,100.0,0.0,15.4562665321908,26.3715474839198,,55908.0,8458.0,4,4
