"","SiteCity","TotalFirstYearGrosskWh","TotalFirstYearGrossTherm","TotalLifecycleGrosskWh","TotalLifecycleGrossTherm","Budget","Total.Claims","Total.Programs","X..OBF.Budget","X..Resource.Budget","city","dac_proportion","ces_score_median","ces_percentile_median","Total.Tax.Revenue","Average.Tax.Revenue","median_household_income_usd","total_population"
"2","ADELANTO",13576.84423,-30.037266,67884.22116,-150.18633,27320.06323,4,1,0,100,"ADELANTO",0.5,35.90879867,68.45125489,23628867,7876289,45695.5,35179
"4","ALBANY",153765.922,-785.0763344,842200.6074,-4288.07028,60926.19353,35,2,0,100,"ALBANY",0,8.128605852,8.740068104,57342690,19114230,102361,16742
"5","ALHAMBRA",21630.94939,-32.17246242,120233.3502,-178.879938,48465.4476,7,1,0,100,"ALHAMBRA",0.15,33.70215145,66.14327153,154981924,51660641.33,59206,84647
"8","AMERICAN CANYON",246321.569,-390.57183,2569735.067,-3193.530636,113629.6157,737,2,0,100,"AMERICAN CANYON",0,14.58399855,24.01311641,68336979,22778993,104042,13352
"9","ANAHEIM",2843.648112,-1.635315291,14302.66896,-8.226646164,4105.068431,3,1,0,100,"ANAHEIM",0.366666667,34.96311183,68.35666541,1004225482,334741827.3,66446,347532
"10","ANDERSON",153146.064,-137.8650024,1627538.672,-1050.015402,162295.5725,18,2,14.33681224,100,"ANDERSON",0,19.65311269,37.42590491,22567917,7522639,47839,23258
"13","ANTIOCH",1090279.854,-1526.2517,12105645.5,-16843.51069,755185.7001,401,2,75.68995326,100,"ANTIOCH",0.055555556,27.35417338,54.35742212,156004836,52001612,76397,112354
"14","APPLE VALLEY",212224.59,-220.077,2514589.718,-2640.924,206693.35,20,1,100,100,"APPLE VALLEY",0,19.92653162,38.11325514,81839215,27279738.33,52921,80949
"17","ARCADIA",72342.81,0,868113.72,0,40843.1973,2,1,0,100,"ARCADIA",0,17.10420385,30.69113381,152549526,50849842,92807,69373
"18","ARCATA",582409.9204,-1503.710973,5108532.13,-13099.61364,587876.0012,451,2,2.829558836,100,"ARCATA",0,24.23644209,48.22802371,34193557,11397852.33,39178,14499
"22","ARROYO GRANDE",282692.1175,-1218.986047,3238651.525,-15423.24537,141893.2079,94,2,0,100,"ARROYO GRANDE",0,6.814271451,6.179846134,43882463,14627487.67,89204.5,25014
"23","ARVIN",235985.1414,-1118.21893,2525115.524,-12564.76151,99105.11402,69,1,29.56813825,100,"ARVIN",0.5,40.31055291,76.37785345,15759971,5253323.667,37428,22818
"24","ATASCADERO",487560.5488,-2199.857894,5412426.592,-26667.46822,254199.3287,328,2,2.286541693,100,"ATASCADERO",0,8.137025663,9.250851305,60949355,20316451.67,73061,25335
"26","ATWATER",388888.9852,-143.429041,4587367.544,-1095.301805,519211.6338,1443,3,85.56285841,100,"ATWATER",0.5,40.48984172,76.57333838,35304215,11768071.67,55891,40011
"27","AUBURN",215833.1616,-1196.42842,2183727.162,-12870.44229,222860.3327,152,3,9.113390282,100,"AUBURN",0,13.28418307,20.82860386,34441547,11480515.67,76104.5,44187
"29","BAKERSFIELD",15559277.6,-50313.14374,159663794.8,-530348.287,6153282.742,18643,2,7.219449909,100,"BAKERSFIELD",0.494505495,38.59974028,73.91852693,547373792,182457930.7,53187,557492
"31","BALDWIN PARK",681793.8559,-23.22887188,8072173.98,-116.1443594,422768.9226,10,1,4.412623841,100,"BALDWIN PARK",0.941176471,53.14905383,91.66351368,87887248,29295749.33,66316,75905
"33","BARSTOW",193153.7232,-61.42185,889673.238,-307.10925,172943.9616,12,1,11.94360003,100,"BARSTOW",0.666666667,46.05296177,84.12788498,67996702,22665567.33,41909.5,31403
"36","BELMONT",151204.076,0,1625603.909,0,116113.2491,10,2,0,100,"BELMONT",0,8.604714339,10.00126119,83965540,27988513.33,143295,27359
"39","BENICIA",429169.7766,-2066.559693,4106471.234,-18644.2675,241293.6881,117,3,40.43137769,100,"BENICIA",0,14.40786172,23.50863917,116821349,38940449.67,104875,28681
"41","BERKELEY",836491.7125,-5193.810612,8176895.298,-58562.81101,557889.9229,387,3,2.462323583,100,"BERKELEY",0.027027027,13.75509976,21.83755833,579751618,193250539.3,93105,132996
"43","BEVERLY HILLS",415702.0474,-0.748306944,4735782.557,-3.74153472,408832.0557,35,1,0,100,"BEVERLY HILLS",0,15.71375653,27.05259175,624117511,208039170.3,129977,40656
"44","BISHOP",4205.905568,-30.41351598,58325.54957,-421.7606899,59918.96966,6,1,68.7418027,100,"BISHOP",0,11.68030389,16.67297263,19159702,6386567.333,66582,16336
"45","BLUE LAKE",26643.8683,-86.91884847,286190.8761,-627.3821124,13781.31939,118,2,0,100,"BLUE LAKE",0,13.78548588,21.90692395,1492422,497474,55000,3346
"46","BLYTHE",370829.52,0,5387171.49,0,91649.45262,13,1,86.41792656,100,"BLYTHE",0.166666667,32.63407868,64.22625804,18987392,6329130.667,45481.5,14924
"51","BREA",56907.36,0,187794.288,0,27135.70352,1,1,0,100,"BREA",0,23.80958589,47.13078572,138957376,46319125.33,92739,46522
"52","BRENTWOOD",213533.707,-158.9548716,2044249.342,-3062.027382,171549.1583,955,2,53.0099574,100,"BRENTWOOD",0,23.64439284,46.69567411,130696354,43565451.33,122573.5,78554
"55","BRISBANE",309040.373,-785.4254,2611663.198,-6367.17147,127604.295,58,1,30.84034941,100,"BRISBANE",0,36.76665277,71.38352882,48761941,16253980.33,113484,5051
"59","BUENA PARK",208320.37,1260.810956,2631190.709,20191.3018,125532.6164,34,1,49.39361945,100,"BUENA PARK",0.307692308,26.66791535,53.31063186,168369439,56123146.33,89351,80669
"60","BURLINGAME",1331067.259,-4042.582618,11938748.37,-39096.95758,537631.799,920,3,33.97203785,100,"BURLINGAME",0,8.766317428,10.36700719,204650697,68216899,129585,42760
"63","CALISTOGA",212789.1145,-701.4418588,2431401.356,-8366.32457,88825.42097,271,2,0,100,"CALISTOGA",0,10.98977817,15.38655568,36440152,12146717.33,85226,6684
"64","CAMARILLO",26280.54116,-16.47198611,140118.1598,-86.30800329,49969.76758,9,1,0,100,"CAMARILLO",0,14.92997166,24.94639929,118667215,39555738.33,105452,79627
"69","CAMPBELL",473185.0184,-1565.744691,4870550.994,-14969.16736,338893.2557,565,2,6.191652892,100,"CAMPBELL",0,13.65427689,21.63576744,120771924,40257308,130811.5,44176
"72","CAPITOLA",351178.63,-1655.80581,2633696.493,-11135.28068,154072.8939,26,1,28.99466604,100,"CAPITOLA",0,11.75383783,16.93782318,41633696,13877898.67,76519,11739
"76","CARPINTERIA",4805.7264,-2.867965041,28580.5967,-14.90647926,10809.52602,4,1,0,100,"CARPINTERIA",0,21.08537881,41.02661117,30597609,10199203,72540,13619
"77","CARSON",931403.6923,6040.052619,9843807.828,18058.36309,472207.048,109,2,35.83050645,100,"CARSON",0.777777778,46.60398634,84.84676504,208784719,69594906.33,79687.5,83730
"84","CERRITOS",8785.8,0,105429.6,0,2267.63522,3,1,100,100,"CERRITOS",0,25.35303137,50.48555934,158028704,52676234.67,106354,50143
"87","CHICO",1541790.982,-1720.531374,17508478.98,-17025.70832,1293355.724,4523,5,16.25304024,100,"CHICO",0.043478261,19.49668227,37.04124101,162340118,54113372.67,50488,109037
"88","CHOWCHILLA",461350.782,-390.2039991,5196954.48,-3879.267196,198932.8769,336,2,7.861166601,100,"CHOWCHILLA",0.666666667,45.63000063,83.78105688,19055065,6351688.333,73060,22300
"90","CLAREMONT",118775.8775,0,1425310.53,0,49810.31779,10,1,66.61051498,100,"CLAREMONT",0,26.7691881,53.38630344,71969579,23989859.67,91661,38213
"91","CLAYTON",56473.20302,-245.0983416,481983.4161,-1585.239708,33937.22711,74,2,0,100,"CLAYTON",0,4.600020856,2.944885862,14894867,4964955.667,139110.5,14078
"92","CLEARLAKE",381931.6878,-1718.902532,4219673.747,-18988.6816,224622.9936,57,2,6.061488819,100,"CLEARLAKE",0,25.69269569,51.12876781,20483995,6827998.333,29052,11491
"94","CLOVERDALE",255002.1183,-713.0857493,2911958.545,-7591.843272,115774.557,26,1,0,100,"CLOVERDALE",0,19.33756652,35.98814478,18179773,6059924.333,68313,10009
"95","CLOVIS",1719822.479,-1690.458306,17801171.81,-17907.76464,886236.7007,7733,3,11.05423329,100,"CLOVIS",0.142857143,20.94706762,40.5662757,172798267,57599422.33,93445,133683
"96","COALINGA",210288.777,-170.7930028,1913133.202,-1189.738454,54218.71551,591,2,0,100,"COALINGA",0,31.83770714,62.83263968,13146859,4382286.333,52173,18095
"98","COLFAX",7543,-20.87,86808.5,-194.809,2838.185382,30,2,0,100,"COLFAX",0,8.659617039,10.13999243,6124843,2041614.333,69591,7188
"100","COLUSA",1902.15,-20.637,19782.36,-214.6248,1631.909785,2,1,0,100,"COLUSA",0,31.15810985,61.62820028,9855638,3285212.667,53136.5,7592
"101","CONCORD",1030959.021,-4054.885651,8820023.589,-38254.91861,594691.2615,712,1,15.16682778,100,"CONCORD",0,17.49302508,31.68747635,289984000,96661333.33,87806,151412
"103","CORCORAN",66692,0,800304,0,4473.78769,345,1,0,100,"CORCORAN",0.4,38.04198054,73.11766932,14901061,4967020.333,36456,23331
"104","CORNING",115242.68,0,1382912.16,0,15793.3863,443,2,0,100,"CORNING",0,31.20632577,61.63450624,17477041,5825680.333,46739,17805
"105","CORONA",2495850.081,-7.18221504,29892458.8,-35.9110752,1071545.117,413,1,0,100,"CORONA",0.175,27.60013403,55.11413797,303874260,101291420,92458.5,249129
"107","CORTE MADERA",61005.82086,-327.5011297,686255.3857,-3516.487311,39199.55583,59,3,50.51509619,100,"CORTE MADERA",0,8.21100984,9.049060411,62244928,20748309.33,146381.5,11867
"108","COSTA MESA",275678.9738,-33.00275053,3041041.323,-217.6606131,148945.5584,80,1,52.66421996,100,"COSTA MESA",0.086956522,20.68295295,40.06810443,355838412,118612804,86884,111330
"109","COTATI",271937.381,-1462.216178,2973171.66,-14905.48583,109152.812,403,2,0,100,"COTATI",0,17.48975058,31.65594653,20660193,6886731,72985,14516
"113","CULVER CITY",432360.5808,-220.476172,3299000.621,-1243.737263,740226.9071,38,1,42.58739523,100,"CULVER CITY",0,30.83203933,61.01652163,271554477,90518159,85544.5,41077
"114","CUPERTINO",484013.78,-925.5338478,3682651.993,-6865.912139,247370.6091,372,2,3.752406839,100,"CUPERTINO",0,10.75461157,14.69920545,196447606,65482535.33,170610,61929
"116","DALY CITY",716892.7038,-3760.39246,7729328.143,-38558.51471,524365.7901,1368,2,66.72300116,100,"DALY CITY",0,21.23519022,41.32299155,200748571,66916190.33,97461.5,114485
"117","DANVILLE",222325.9862,-287.87186,2063115.223,-2698.460191,113364.0322,509,3,0,100,"DANVILLE",0,3.239307706,1.166603607,72565325,24188441.67,169094.5,49140
"118","DAVIS",351784.3874,-353.21354,4043706.655,-3887.77068,189874.1432,54,3,10.68853244,100,"DAVIS",0,12.56234193,19.13229916,158861658,52953886,70469,71684
"123","DINUBA",190540,0,2286480,0,127050.2436,1203,1,18.83783576,100,"DINUBA",0.8,48.30342822,87.03493505,50721038,16907012.67,54744,32347
"125","DIXON",587500.8375,-1336.478518,6423303.008,-8843.383649,333415.9587,1093,4,0,100,"DIXON",0,23.14191445,45.46601085,55726851,18575617,87639,27647
"126","DOS PALOS",121536.86,-294.8703,1543559.52,-4717.9248,231156.5394,630,3,88.64074857,100,"DOS PALOS",1,51.84016295,90.50952201,4536757,1512252.333,40040.5,9043
"127","DOWNEY",1639051.641,-31.91832799,12896970.63,-159.5916399,748363.9731,95,1,34.93263971,100,"DOWNEY",0.272727273,34.45541725,67.43599445,220835936,73611978.67,74231,112322
"129","DUBLIN",282452.393,-438.0994,3127916,-5831.8052,208330.7862,299,2,12.64694717,100,"DUBLIN",0,12.98059678,19.97729852,283718026,94572675.33,124338,37942
"132","EL CERRITO",401832.2498,-700.49489,4427479.634,-9872.382056,183162.5768,1346,1,0,100,"EL CERRITO",0,11.36615592,15.90364485,68530224,22843408,107813,30762
"134","EL MONTE",119920.023,-178.2217452,696330.7165,-1035.637514,121529.5452,40,1,0,100,"EL MONTE",1,53.57521225,92.0797074,219130286,73043428.67,52436,98427
"136","EL SEGUNDO",17577.90317,-11.78931781,87889.51584,-58.94658907,48444.04815,4,1,0,100,"EL SEGUNDO",0.166666667,15.56612256,26.56703241,194778081,64926027,109929,16731
"140","EMERYVILLE",349156.8492,-843.37108,3993190.082,-11097.96613,230760.6884,799,2,3.638275216,100,"EMERYVILLE",0.4,35.68323888,69.58632867,134910892,44970297.33,79679,37271
"141","ESCALON",24555.36,-46.56,308104.32,-744.96,13850.46844,3,1,0,100,"ESCALON",0.5,35.97940652,69.37192584,10279976,3426658.667,69036,13379
"143","EUREKA",1900805.269,-20811.01453,16315822.29,-171177.843,1633526.741,2795,3,3.504065616,100,"EUREKA",0,15.29409632,25.91751797,78488452,26162817.33,52197.5,49398
"144","FAIRFAX",193260.2195,-1062.445234,2300939.844,-12233.14969,156145.0299,791,2,77.05296066,100,"FAIRFAX",0,3.849072866,1.715222601,27889662,9296554,111060,9682
"145","FAIRFIELD",3668954.351,-17040.58138,34711597.87,-161494.1504,1821874.727,924,4,3.531775802,100,"FAIRFIELD",0,24.52497301,48.83970236,304222431,101407477,80596.5,119471
"146","FARMERSVILLE",12855.74783,-44.58975598,64278.73914,-222.9487799,47170.41483,2,1,0,100,"FARMERSVILLE",1,39.89905213,75.83554042,14207660,4735886.667,32096,5422
"149","FERNDALE",74572.78666,-806.1769729,708050.6763,-6298.541724,55313.63738,164,2,0,100,"FERNDALE",0,16.03575081,27.83453147,2294478,764826,50896,3309
"152","FILLMORE",15749.35488,-23.41860595,78746.7744,-117.0930298,35027.85199,1,1,0,100,"FILLMORE",0,30.02519964,59.57245554,18597707,6199235.667,75633.5,19999
"154","FIREBAUGH",119501.4072,-13.814536,1431579.552,-148.999632,51464.879,212,2,0,100,"FIREBAUGH",1,41.5319313,78.21919536,10261058,3420352.667,50556,11116
"156","FOLSOM",43074,0,516888,0,20014.58192,191,2,0,100,"FOLSOM",0,5.69767681,4.086265607,223853178,74617726,115527.5,78159
"161","FORT BRAGG",69661.43152,-447.8326168,550452.0508,-4077.285395,53340.16677,15,1,0,100,"FORT BRAGG",0,21.19126697,41.30407365,20389620,6796540,49522,12078
"162","FORTUNA",289304.9109,1005.113956,3099440.798,47008.90693,358065.1024,158,1,10.26415064,100,"FORTUNA",0,23.52426979,45.92004036,17571716,5857238.667,48872.5,9342
"164","FOUNTAIN VALLEY",26201.5625,0,314418.75,0,9423.693049,7,1,0,100,"FOUNTAIN VALLEY",0,23.45967089,46.43712952,137721744,45907248,93454,53847
"165","FOWLER",84149.10123,-193.2520001,848921.2216,-1729.784911,51443.67221,19,1,70.70799134,100,"FOWLER",1,51.32610886,90.2005297,13479812,4493270.667,47406,5177
"167","FREMONT",4189145.551,-6263.748834,48321489.99,-64324.23965,2351006.555,14231,3,59.06329147,100,"FREMONT",0,16.55727479,29.20923193,705689160,235229720,135033.5,227727
"169","FRESNO",5874454.692,-8106.654179,60333431.44,-90623.34045,3002237.46,684,5,7.372681682,100,"FRESNO",0.664,46.16995249,84.44948922,849627432,283209144,43839,591168
"171","FULLERTON",1050721.55,0,11475321.45,0,530717.7888,90,1,19.2749145,100,"FULLERTON",0.2,27.11149758,54.1241014,230208631,76736210.33,84479,155957
"175","GARDENA",13146.65352,-7.559325773,65733.2676,-37.79662887,42208.28104,8,1,0,100,"GARDENA",0.8,56.29544214,94.20481776,142671233,47557077.67,56535,79331
"178","GILROY",2779159.006,-7600.82463,24477914.34,-62444.04319,1773220.929,95,3,6.823748777,100,"GILROY",0.2,27.45469124,54.59704881,132694169,44231389.67,96547.5,62228
"181","GOLETA",60493.62236,-40.57626606,303241.4025,-203.4267038,136099.8914,19,1,0,100,"GOLETA",0,7.729470845,7.781561357,79722144,26574048,96250,56967
"182","GONZALES",102710.78,-4.212,1230176.4,-37.0656,15273.97739,361,2,0,100,"GONZALES",0,26.19232829,52.2260058,13714502,4571500.667,54205,5469
"184","GRASS VALLEY",735915.6256,-2095.30744,8273818.689,-21246.03184,504653.9775,204,4,70.46580579,100,"GRASS VALLEY",0,11.87112952,17.46752428,43207378,14402459.33,76103.5,47806
"187","GREENFIELD",382413.8566,-1301.2182,3632486.892,-9818.548254,160964.8627,541,2,4.639718211,100,"GREENFIELD",0,22.19617776,43.39765418,21125795,7041931.667,63827,18424
"189","GROVER BEACH",178879.2887,-1107.853238,1576795.997,-9370.14226,101869.0331,126,2,0,100,"GROVER BEACH",0,14.68362273,24.3977803,26760953,8920317.667,64127.5,13535
"193","GUSTINE",149519.2052,-476.90904,1922549.342,-7585.30848,88486.65877,285,2,0,100,"GUSTINE",1,52.1336534,90.8941859,6580991,2193663.667,60521,8712
"195","HALF MOON BAY",55886.776,-129.574,543599.9815,-853.30677,16365.99126,172,1,64.94881558,100,"HALF MOON BAY",0,16.17893726,28.50926977,46348862,15449620.67,145873,11860
"196","HANFORD",115711.1587,-400.2114393,751473.5889,-2454.405255,345368.002,97,3,0,100,"HANFORD",0.384615385,38.95330355,74.34733258,83416244,27805414.67,55670,72726
"197","HAWTHORNE",114878.4755,-40.38381141,745323.8479,-233.498679,300698.0243,9,1,0,100,"HAWTHORNE",0.75,45.94890733,84.10266112,197009382,65669794,52779.5,104391
"198","HAYWARD",2427577.601,-18831.4508,25223738,-198652.4869,1694410.478,1665,3,9.348900499,100,"HAYWARD",0.055555556,29.52929838,58.60133686,467224536,155741512,81092.5,176116
