"","SiteCity","TotalFirstYearGrosskWh","TotalFirstYearGrossTherm","TotalLifecycleGrosskWh","TotalLifecycleGrossTherm","Budget","Total.Claims","Total.Programs","X..OBF.Budget","X..Resource.Budget","city","dac_proportion","ces_score_median","ces_percentile_median","Total.Tax.Revenue","Average.Tax.Revenue","median_household_income_usd","total_population"
"382","POMONA",642929.2,0,7715150.4,0,437328.2935,16,1,100,100,"POMONA",0.774193548,52.26491988,90.99508135,258915743,86305247.67,57650,152251
"383","PORT HUENEME",8145.409104,-5.463041623,40727.04552,-27.31520812,17986.79735,4,1,0,100,"PORT HUENEME",0,28.7165969,57.27077816,28934474,9644824.667,64439,19861
"387","RANCHO MIRAGE",522163.0329,-7.199082971,5986181.849,-39.30498678,162492.741,17,1,62.88055484,100,"RANCHO MIRAGE",0,8.91900947,10.70752932,75260542,25086847.33,82097,17140
"388","RANCHO PALOS VERDES",40073.5237,-41.32324922,354917.1185,-206.6162461,103230.3292,8,1,0,100,"RANCHO PALOS VERDES",0,5.618139311,3.972758229,89577373,29859124.33,143721,44864
"389","RED BLUFF",1138255.561,-2187.445286,13475583.83,-25650.92502,540779.8048,502,3,16.0224935,100,"RED BLUFF",0,25.68313517,51.08462606,28947329,9649109.667,40948.5,34100
"391","REDDING",15178.785,-62.37676,99482.29425,-384.5253,15690.88625,4,1,0,100,"REDDING",0,13.84379856,22.03304326,160494100,53498033.33,59235,109737
"392","REDONDO BEACH",128353.8777,-0.04932769,590457.2566,-0.246638448,82175.29285,10,1,0,100,"REDONDO BEACH",0,12.30210647,18.3945012,197197476,65732492,111585.5,72275
"394","REDWOOD CITY",613922.9824,-1408.16541,6058687.081,-13959.43061,363160.6742,646,3,3.795860899,100,"REDWOOD CITY",0.041666667,14.00365536,22.6636398,334832466,111610822,132742,121495
"396","REEDLEY",316862.4178,-858.1050022,3349245.616,-8849.83918,112370.0526,876,2,17.3264174,100,"REEDLEY",0.857142857,47.79340498,86.54306974,23335581,7778527,44375,40225
"397","RICHMOND",2209539.833,-11929.83564,22486985.92,-126294.3248,1633195.497,2597,2,11.43691966,100,"RICHMOND",0.5,38.48676688,73.34468407,518244183,172748061,58935.5,88242
"400","RIO VISTA",1112211.88,-4065.706458,11231222.27,-36585.28222,555614.1393,401,3,13.81066724,100,"RIO VISTA",0,38.66444693,74.00681044,15552814,5184271.333,68284,10676
"401","RIPON",86051.1,-263.8497,727289.04,-4221.5952,76590.1109,4,1,0,100,"RIPON",0,29.07020827,57.87615084,23370019,7790006.333,83600,17867
"402","RIVERBANK",193445.037,-476.549,2405110.881,-5999.5056,79430.71915,348,2,0,100,"RIVERBANK",1,48.90525945,87.57724808,22223025,7407675,58165.5,16110
"404","ROCKLIN",674270.4625,-480.1561525,7873505.584,-4526.936765,296237.1909,1024,4,2.565886655,100,"ROCKLIN",0,7.616903506,7.579770463,123847771,41282590.33,94821,63112
"406","ROHNERT PARK",796559.6046,-3060.128286,8999738.482,-33648.0417,421318.1182,1889,1,23.16492731,100,"ROHNERT PARK",0,12.93589326,19.86379115,88150550,29383516.67,65119,38042
"409","ROSEMEAD",32452.24488,-78.08581787,164129.8137,-396.3553451,3965875.058,58,25,0,40.41842836,"ROSEMEAD",0.5,39.64140399,75.46348846,59057151,19685717,61046,61315
"410","ROSEVILLE",2610,0,31320,0,130.066063,9,1,0,100,"ROSEVILLE",0,13.03738161,20.17908942,319452085,106484028.3,88314.5,142410
"412","SACRAMENTO",29903,0,358836,0,16421.66873,162,2,0.907177984,100,"SACRAMENTO",0.238636364,29.2166479,58.0653298,1263401000,421133666.7,57258.5,821850
"414","SALINAS",5466769.433,-30800.98008,48946286.94,-249406.9386,3053607.515,726,3,19.25831466,100,"SALINAS",0.05,26.33470027,52.553916,389086044,129695348,71607,199851
"416","SAN ANSELMO",263893.8812,-861.9945089,2758645.632,-5929.989571,229761.9531,140,1,0,100,"SAN ANSELMO",0,3.973132251,1.879177702,52211107,17403702.33,142072.5,17184
"418","SAN BERNARDINO",223875.54,0,1740303.45,0,90805.97867,2,2,0,100,"SAN BERNARDINO",0.725490196,46.91061761,85.35754824,335935687,111978562.3,47970.5,278008
"419","SAN BRUNO",132328.8681,-79.70582,1181047.529,-635.7174854,119661.5405,232,1,0,100,"SAN BRUNO",0.111111111,15.97754578,27.67057637,98367969,32789323,122308,43101
"420","SAN CARLOS",863095.4914,-1899.4545,6116929.749,-12843.3915,402278.1941,43,2,16.26497369,100,"SAN CARLOS",0,7.880444239,8.172531215,114221909,38073969.67,189914,32112
"421","SAN DIEGO",0,0,0,0,20892804.11,104,8,0,0,"SAN DIEGO",0.095785441,17.1951482,30.82355909,4139432802,1379810934,77448,1335542
"422","SAN FRANCISCO",13683306.83,-49845.39895,126340607.2,-502719.15,33332781.1,2566,10,1.7252794,41.9634864,"SAN FRANCISCO",0.06122449,14.76133906,24.53651154,13200899836,4400299945,115882.5,874961
"423","SAN GABRIEL",19004.4,0,62714.52,0,4752.896799,1,1,0,100,"SAN GABRIEL",0.153846154,25.32997012,50.43511162,92436618,30812206,70618,62324
"425","SAN JACINTO",9691.655944,-8.460604384,52094.99975,-45.62073142,121099.359,8,1,0,100,"SAN JACINTO",0.1,28.18148686,56.28704755,40924212,13641404,50020,61157
"427","SAN JOSE",8691236.961,-28823.86169,76496064.37,-240695.7237,4926402.337,4821,4,46.85272528,100,"SAN JOSE",0.070707071,19.25478188,36.43586833,2915456970,971818990,108125,1047701
"428","SAN JUAN BAUTISTA",148144.247,-771.21,1103996.763,-4608.93303,83644.50286,91,3,0,100,"SAN JUAN BAUTISTA",0,27.23503082,54.3069744,4032237,1344079,92423,6263
"429","SAN LEANDRO",1444334.551,-4319.624039,15780609.47,-48941.90849,966954.5272,3751,3,1.987679266,100,"SAN LEANDRO",0.136363636,30.26975556,59.96973137,289621805,96540601.67,78295,118450
"431","SAN LUIS OBISPO",622925.4062,-2636.939409,6183510.2,-27275.68056,277676.4409,626,3,5.467203328,100,"SAN LUIS OBISPO",0,11.85025369,17.24050952,176469386,58823128.67,69512,65313
"432","SAN MARINO",32779.5,0,393354,0,21210.96697,18,1,0,100,"SAN MARINO",0,8.693052429,10.16521629,61287251,20429083.67,165208.5,13194
"434","SAN MATEO",1578122.95,-1849.134754,16625625.62,-18640.43094,739052.3031,3753,3,6.673942037,100,"SAN MATEO",0,12.21017894,18.17379241,343379295,114459765,144479,143097
"436","SAN PABLO",321706.5063,-2595.9495,3577423.493,-32363.61517,200685.9206,328,2,0,100,"SAN PABLO",0.454545455,37.91161714,73.03569176,122697588,40899196,64327,63422
"437","SAN RAFAEL",1119960.679,-5323.611967,11473788.44,-49703.23499,875477.2003,3558,2,26.31002978,100,"SAN RAFAEL",0,10.72676884,14.66767562,210321883,70107294.33,96313,72139
"438","SAN RAMON",517024.39,-562.051305,5855840.39,-6601.28538,149317.1351,2142,2,1.704857196,100,"SAN RAMON",0,6.177989246,5.032160424,124315838,41438612.67,149437.5,86097
"441","SANGER",337088.147,-506.6696,3664679.439,-7893.6228,100033.9402,785,2,0,100,"SANGER",0.375,33.81499162,66.12435364,31723224,10574408,73114.5,47464
"442","SANTA ANA",1236913.901,-1392.642,11305834.87,-11209.464,660939.0923,33,1,96.47024788,100,"SANTA ANA",0.283333333,34.30430864,67.22159163,599152417,199717472.3,72977,369465
"443","SANTA BARBARA",411744.3327,-203.668357,3338520.056,-1643.537551,747495.3978,137,3,28.91033618,100,"SANTA BARBARA",0,10.42881989,14.07491487,343060421,114353473.7,94509,145719
"444","SANTA CLARITA",11225.8,0,134709.6,0,6543.937515,5,1,0,100,"SANTA CLARITA",0,11.45789193,16.02976416,331043409,110347803,113299,51656
"445","SANTA CRUZ",2629816.759,8547.487366,18865260.79,23259.57596,1463472.83,263,4,53.46282133,100,"SANTA CRUZ",0,12.70988003,19.42237357,227343878,75781292.67,83911,106510
"447","SANTA MARIA",4346289.79,-11881.49233,46065883.16,-116113.3683,1681966.298,2646,3,3.487358423,100,"SANTA MARIA",0,20.81678144,40.35817884,176067163,58689054.33,73568.5,158111
"448","SANTA MONICA",1048313.962,-78.38151498,11700812.5,-417.5812807,1017249.869,212,2,60.74468547,100,"SANTA MONICA",0.052631579,21.46840917,41.99772985,833735521,277911840.3,95417,91577
"450","SANTA PAULA",33680.04478,-26.23106841,281006.3639,-131.6513181,53051.10028,18,1,27.40905089,100,"SANTA PAULA",0,23.02319783,45.21377223,34632590,11544196.67,69960,39386
"451","SANTA ROSA",7937848.786,-23056.09924,88833306.9,-235916.4788,3415741.144,11014,5,3.089814525,100,"SANTA ROSA",0.025641026,17.33482715,31.20191701,408725410,136241803.3,76341,219348
"453","SARATOGA",231117.2626,-432.242,1887732.622,-3501.3187,103323.8453,207,2,58.72721256,100,"SARATOGA",0,6.433643291,5.530331694,56055186,18685062,194503,30858
"454","SAUSALITO",101756.1227,-649.97147,997912.3362,-6207.64664,92215.04446,75,1,0,100,"SAUSALITO",0,9.616915982,12.33446841,39365612,13121870.67,105913,10548
"456","SCOTTS VALLEY",462066.207,-1969.553196,3436024.482,-12961.16758,220525.3763,54,1,51.51340077,100,"SCOTTS VALLEY",0,6.997327605,6.583427923,31563210,10521070,107500,8746
"457","SEASIDE",1117590.4,-3232.71804,10719622.68,-27912.13394,542886.4871,1254,2,65.81169469,100,"SEASIDE",0,16.82425784,29.92180603,86167784,28722594.67,56359,26914
"458","SEBASTOPOL",348052.3002,-1982.38195,3797213.74,-21170.97844,186586.0433,167,1,0,100,"SEBASTOPOL",0,11.81940291,17.13961407,24836702,8278900.667,92198,25746
"459","SELMA",180001.962,-39.267,2024077.534,-408.3768,100866.2172,1036,1,0,100,"SELMA",1,50.50260285,89.37444823,42445076,14148358.67,46896.5,35199
"460","SHAFTER",1043188.859,-5034.048771,9858536.076,-47979.05648,428008.1034,104,1,5.313099098,100,"SHAFTER",1,46.87337502,85.28818262,63669637,21223212.33,46052,23656
"462","SIMI VALLEY",2309.553648,-3.4347276,12402.77098,-18.44864208,5119.148931,3,1,0,100,"SIMI VALLEY",0,17.59676871,32.00908059,193391526,64463842,93237,128176
"464","SOLEDAD",997892.5187,-5371.96743,7882316.094,-35206.89917,444892.45,637,2,44.9972617,100,"SOLEDAD",0,26.24812937,52.37734897,26247590,8749196.667,66655.5,24958
"465","SOLVANG",28023,0,336276,0,1920.180568,149,1,0,100,"SOLVANG",0,11.36137432,15.87842099,24223243,8074414.333,82940,6445
"468","SONOMA",515944.8252,-2699.24736,5884407.493,-30165.97657,251138.4499,337,2,7.12512258,100,"SONOMA",0,13.38187621,21.03039475,42831807,14277269,82737.5,36263
"469","SONORA",217479.3296,-369.8628609,2582756.871,-4520.522853,158242.837,18,1,10.97791303,100,"SONORA",0,19.88699362,37.34392736,20450527,6816842.333,56070,21270
"471","SOUTH EL MONTE",38319.1874,-57.00146,227633.1853,-338.7792164,76799.50765,23,1,0,100,"SOUTH EL MONTE",1,55.12307837,93.26522891,39193055,13064351.67,49417.5,39515
"472","SOUTH PASADENA",28545.70572,-42.44622329,142728.5286,-212.2311164,47852.57619,6,1,0,100,"SOUTH PASADENA",0,10.46228801,14.12536259,69222562,23074187.33,120521,25661
"473","SOUTH SAN FRANCISCO",628629.7601,-2870.027912,3798535.458,-21033.73356,263871.3339,55,1,12.68754967,100,"SOUTH SAN FRANCISCO",0.181818182,18.2830425,33.97654181,294543622,98181207.33,106402,67118
"478","STOCKTON",5587206.633,-14710.98965,60556813.89,-158973.5191,3763514.386,8264,5,7.430532517,100,"STOCKTON",0.630136986,42.2460576,79.13986631,702319574,234106524.7,49219,363335
"479","SUISUN CITY",912587.2751,-1929.664269,10712781.9,-19883.81141,439094.8635,559,2,6.410450712,100,"SUISUN CITY",0,20.66799941,40.0176567,31694227,10564742.33,79974,26469
"481","SUNNYVALE",2615312.522,-2814.100703,26403001.75,-22329.77905,1043242.844,6810,4,25.4182287,100,"SUNNYVALE",0,15.67362723,26.92647244,450307639,150102546.3,146566,159933
"483","SUTTER CREEK",145804.8417,-816.0211306,1630460.784,-8656.353519,135809.8384,35,1,0,100,"SUTTER CREEK",0,26.54064656,52.95749779,4552576,1517525.333,56864,4675
"484","TAFT",396875.1472,-1794.495841,3671881.887,-15860.01822,276790.1178,484,2,2.725294129,100,"TAFT",0.666666667,39.72641244,75.6211376,12051096,4017032,35718,17248
"486","TEMECULA",37.2,-0.0339,446.4,-0.4068,95.67492917,1,1,0,100,"TEMECULA",0,15.21369988,25.67158532,276748683,92249561,99653,127231
"488","THOUSAND OAKS",47700.0818,-70.92794772,238500.409,-354.6397386,290420.4972,6,1,0,100,"THOUSAND OAKS",0,11.33988927,16.13696557,226976306,75658768.67,121187.5,79305
"491","TORRANCE",189239.0594,-118.2337111,1710864.488,-984.7293764,414119.0496,39,2,0,100,"TORRANCE",0.162162162,25.32696195,50.47925337,512015370,170671790,89463.5,182791
"492","TRACY",2017663.031,-3200.360452,19662874.31,-32364.52831,1200237.677,1725,4,12.81817608,100,"TRACY",0.25,33.57511841,65.84689116,226114037,75371345.67,82916.5,123469
"493","TRINIDAD",26761.859,-451.0681403,295044.9896,-4947.903961,24406.35228,28,2,0,100,"TRINIDAD",0,13.0274848,20.1286417,1812274,604091.3333,47583,2775
"494","TRUCKEE",1478.52,-8.5988,15432.64,-86.8652,1633.529579,3,1,0,100,"TRUCKEE",0,6.407040281,5.524025728,82745031,27581677,110808,18279
"495","TULARE",71650.62,0,573204.96,0,17927.50202,1,1,0,100,"TULARE",0.428571429,39.04573036,74.50498171,111458928,37152976,47017,72613
"497","TUSTIN",5827.094,0,69925.128,0,2353.142921,4,2,0,100,"TUSTIN",0,22.62834031,44.39399672,159816348,53272116,88761,88473
"499","UKIAH",231261.2371,-972.2012784,2468965.392,-10629.74895,170084.4652,28,2,0,100,"UKIAH",0,24.68063193,49.31264977,50276065,16758688.33,49135,26453
"500","UNION CITY",365581.3463,-1184.9752,3738122.759,-12236.76483,249485.9454,977,2,36.66554945,100,"UNION CITY",0.125,23.39988382,46.09030143,154635136,51545045.33,116875,81064
"502","VACAVILLE",4863504.318,-10956.18042,49640437.81,-104143.8193,2187779.377,3044,4,24.26137008,100,"VACAVILLE",0,17.03700048,30.50826081,261334918,87111639.33,94659,106828
"504","VALLEJO",1609408.462,-8678.151142,16584409.79,-84310.18349,894711.6525,1327,3,8.041261008,100,"VALLEJO",0.161290323,24.29481734,48.45503847,263619424,87873141.33,70417,122876
"508","VENTURA",906599.3612,36753.98621,13021453.01,588244.3311,823356.7688,9,1,0,100,"VENTURA",0.08,19.78211039,37.8105688,278789652,92929884,78115,109566
"510","VICTORVILLE",94067.20521,-139.9342433,821031.22,-1134.986689,301762.6743,36,2,0,100,"VICTORVILLE",0.1875,33.14440647,65.16584689,170667834,56889278,54880,135177
"511","VISALIA",6415752.218,-156.6540549,95919140.94,-1215.585221,948406.2337,21,1,0,100,"VISALIA",0.333333333,33.89256084,66.44595788,269522684,89840894.67,58713,159505
"512","WALNUT CREEK",204788.533,-666.510275,1825942.537,-6322.205072,149316.048,545,1,12.3604517,100,"WALNUT CREEK",0,9.048853866,10.94715601,183611285,61203761.67,122536.5,97658
"513","WASCO",220766.3001,-1312.783465,2062786.252,-10935.75166,89943.9863,50,1,0,100,"WASCO",0.5,48.11692374,86.84575609,23647051,7882350.333,43879,27297
"514","WATSONVILLE",2835102.842,-13809.31202,24891487.45,-120979.2667,1534907.835,289,2,54.13464208,100,"WATSONVILLE",0.133333333,22.83932029,44.74713079,115522757,38507585.67,68214,88671
"517","WEST COVINA",0,0,0,0,134816.9959,1,1,0,100,"WEST COVINA",0.166666667,31.51624847,62.27140875,167832707,55944235.67,88330.5,104339
"518","WEST HOLLYWOOD",19595.5515,-29.1377331,97977.7575,-145.6886655,48607.49522,8,1,0,100,"WEST HOLLYWOOD",0,19.07648124,35.98183882,221253537,73751179,94315,20977
"519","WEST SACRAMENTO",413489.9282,-1424.59808,4150214.539,-15760.23155,258486.1909,64,2,46.96469231,100,"WEST SACRAMENTO",0.375,29.4599925,57.86984487,202036329,67345443,82773.5,45454
"520","WESTLAKE VILLAGE",1275.9894,-1.89734076,6379.947,-9.4867038,2837.904675,1,1,0,100,"WESTLAKE VILLAGE",0,11.59906002,16.44595788,37535299,12511766.33,110840.5,17146
"522","WHEATLAND",39460,0,473520,0,2665.749749,206,1,0,100,"WHEATLAND",0,25.75194716,51.24227519,6414899,2138299.667,77303,4652
"523","WHITTIER",46504.62,-8.91,580959.81,-103.95,27780.54958,4,1,0,100,"WHITTIER",0.4,36.51480973,70.86013369,129417527,43139175.67,74819,183516
"524","WILDOMAR",5019.631344,-4.370541084,25098.15672,-21.85270542,12383.84427,11,1,0,100,"WILDOMAR",0,22.91926328,45.02459327,29236953,9745651,85335,34552
"525","WILLIAMS",146558.7949,-457.497807,1705506.645,-5271.708945,68066.7281,7,1,31.93387463,100,"WILLIAMS",0,25.81831426,51.40623029,11785217,3928405.667,66143,5963
"526","WILLITS",188872.042,-1473.399907,1970209.169,-14627.94289,148690.5938,20,1,0,100,"WILLITS",0,19.92642867,37.74120318,12618622,4206207.333,47007,12690
"528","WILLOWS",21903.579,-109.89,210352.9446,-1016.6904,24265.41087,7,1,54.44533799,100,"WILLOWS",0,35.1167247,68.63412788,10963024,3654341.333,44004,7118
"529","WINDSOR",436177.6798,-893.1963383,5060097.443,-9490.148611,112789.1686,1386,2,0,100,"WINDSOR",0,16.08930725,28.23811326,50138809,16712936.33,105544,21434
"532","WOODLAND",526910.0579,-288.6821886,5986636.618,-3137.043203,278715.8263,358,2,9.537818639,100,"WOODLAND",0,19.03141067,35.86833144,134378568,44792856,71184,68805
"533","YORBA LINDA",100589.028,-23.217678,1207068.336,-278.612136,230594.6335,12,1,100,100,"YORBA LINDA",0,14.37930234,23.43296759,108191037,36063679,137520.5,63982
"535","YOUNTVILLE",16598.67248,-37.547,158077.8507,-258.09656,4901.835174,57,2,0,100,"YOUNTVILLE",0,10.84848779,14.90730231,32212771,10737590.33,69300,2987
"536","YUBA CITY",898299.6068,-1693.655181,9530011.21,-20746.77036,637530.0859,450,3,25.82280142,100,"YUBA CITY",0.0625,25.73387267,51.23596923,95292052,31764017.33,60333.5,77902
