County,TotalRevenue
Alameda,"9,617,053,146"
Alpine,60490797
Amador,"243,032,260"
Butte,1290504922
Calaveras,677652486
Colusa,183757138
Contra Costa,9994087813
Del Norte,225894688
El Dorado,1101313736
Fresno,5391143000
Glenn,251081405
Humboldt,1063422798
Imperial,1305614242
Inyo,240392588
Kern,5607641820
Kings,838808094
Lake,478399008
Lassen,206480533
Los Angeles,76411682804
Madera,817688440
Marin,1915528217
Mariposa,232171960
Mendocino,758752047
Merced,1666466015
Modoc,96893007
Mono,188643308
Monterey,3671220267
Napa,1222227166
Nevada,546343616
Orange,13906507153
Placer,2127770556
Plumas,185792886
Riverside,13570088323
Sacramento,10395684000
San Benito,281691310
San Bernardino,13659231046
San Diego,14446023940
San Joaquin,4889031329
San Luis Obispo,1927680713
San Mateo,5988035519
Santa Barbara,2903982473
Santa Clara,18131549759
Santa Cruz,1830683929
Shasta,1070287414
Sierra,65142974
Siskiyou,316302971
Solano,2254970962
Sonoma,3532819475
Stanislaus,3326438109
Sutter,590171756
Tehama,400630004
Trinity,173811393
Tulare,2747585144
Tuolumne,476176226
Ventura,6232135889
Yolo,1146194045
Yuba,596778975