city,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,population,ruca,revenue,predicted_revenue,number,total_wa,perc_wa,total_ba,perc_ba,total_ia,perc_ia,total_aa,perc_aa,total_na,perc_na,total_mixed,perc_mixed,total_twoormoreraces,perc_twoormoreraces
EL DORADO HILLS,13795.7,6773.087062,36,2,37.92175978,100,0,4.262993213,2.251229663,146439.5,33927,1,,-2851479.618,106,27456,0.80926696,482,0.01420697,89,0.00262328,3385,0.09977304,224,0.00660241,414,0.01220267,1877,0.05532467
EL MONTE,119920.023,121529.5452,40,1,0,100,1,53.57521225,92.0797074,52436,98427,1,219130286,219130286,107,39090,0.39714712,554,0.00562854,885,0.00899144,28543,0.28999157,639,0.00649212,25237,0.25640322,3479,0.03534599
EL SEGUNDO,17577.90317,48444.04815,4,1,0,100,0.1666666667,15.56612256,26.56703241,109929,16731,6,194778081,194778081,108,12005,0.71753033,626,0.03741558,37,0.00221146,1701,0.10166756,9,0.00053792,756,0.04518558,1597,0.09545156
EL SOBRANTE,251044.4889,192640.9567,121,2,22.08181959,100,0,15.69790454,27.18501703,85388.5,21101,1,,-67244342.57,109,10286,0.48746505,2768,0.13117862,173,0.00819866,4667,0.22117435,23,0.00109,1271,0.06023411,1913,0.09065921
EMERYVILLE,349156.8492,230760.6884,799,2,3.638275216,100,0.4,35.68323888,69.58632867,79679,37271,1,134910892,134910892,110,15679,0.42067559,9524,0.25553379,259,0.0069491,5582,0.14976792,194,0.00520512,2747,0.07370342,3286,0.08816506
ESCALON,24555.36,13850.46844,3,1,0,100,0.5,35.97940652,69.37192584,69036,13379,5,10279976,10279976,111,12254,0.915913,77,0.00575529,75,0.0056058,161,0.01203378,9,0.0006727,555,0.04148292,248,0.01853651
EUREKA,1900805.269,1633526.741,2795,3,3.504065616,100,0,15.29409632,25.91751797,52197.5,49398,4,78488452,78488452,112,38934,0.78816956,698,0.01413013,1035,0.02095227,2590,0.05243127,89,0.00180169,2538,0.0513786,3514,0.07113648
FAIRFAX,193260.2195,156145.0299,791,2,77.05296066,100,0,3.849072866,1.715222601,111060,9682,2,27889662,27889662,113,8506,0.87853749,80,0.00826276,16,0.00165255,374,0.03862838,29,0.00299525,160,0.01652551,517,0.05339806
FAIRFIELD,3668954.351,1821874.727,924,4,3.531775802,100,0,24.52497301,48.83970236,80596.5,119471,1,304222431,304222431,114,59217,0.49566003,17782,0.14883947,592,0.00495518,20699,0.17325543,1495,0.0125135,10046,0.08408735,9640,0.08068904
FARMERSVILLE,12855.74783,47170.41483,2,1,0,100,1,39.89905213,75.83554042,32096,5422,1,14207660,14207660,115,3741,0.6899668,31,0.00571745,79,0.01457027,21,0.00387311,3,0.0005533,1125,0.20748801,422,0.07783106
FELTON,241666.693,125644.7526,18,1,26.58114999,100,0,6.368148573,5.41051835,98578,4781,1,,-149178813.4,116,4284,0.89604685,75,0.01568709,0,0,98,0.0204978,0,0,142,0.0297009,182,0.03806735
FERNDALE,74572.78666,55313.63738,164,2,0,100,0,16.03575081,27.83453147,50896,3309,10,2294478,2294478,117,2902,0.87700212,0,0,47,0.01420369,56,0.01692354,0,0,115,0.0347537,189,0.05711695
FILLMORE,15749.35488,35027.85199,1,1,0,100,0,30.02519964,59.57245554,75633.5,19999,4,18597707,18597707,118,17036,0.85184259,93,0.00465023,148,0.00740037,185,0.00925046,13,0.00065003,1646,0.08230412,878,0.0439022
FIREBAUGH,119501.4072,51464.879,212,2,0,100,1,41.5319313,78.21919536,50556,11116,9,10261058,10261058,119,7315,0.65806045,9,0.00080964,27,0.00242893,8,0.00071968,0,0,3752,0.33753149,5,0.0004498
FOLSOM,43074,20014.58192,191,2,0,100,0,5.69767681,4.086265607,115527.5,78159,1,223853178,223853178,120,54802,0.70116046,2663,0.03407157,291,0.00372318,13428,0.17180363,368,0.00470835,2006,0.02566563,4601,0.05886718
FOREST RANCH,279,14.28292397,1,1,0,100,0,13.45460824,21.13759617,109444,4753,2,,-149319387.3,121,4155,0.87418473,26,0.00547023,0,0,92,0.0193562,0,0,100,0.02103934,380,0.07994951
FORESTHILL,878,43.47816218,3,1,0,100,0,11.58303528,16.38289822,79802,6903,2,,-138525324,122,6581,0.95335361,0,0,0,0,88,0.01274808,0,0,129,0.01868753,105,0.01521078
FORESTVILLE,15331.78218,6898.796941,11,1,0,100,0,10.37754511,14.19472821,66913.5,8376,2,,-131130135.6,123,7377,0.88073066,10,0.00119389,102,0.01217765,161,0.01922159,15,0.00179083,235,0.02805635,476,0.05682904
FORT BRAGG,69661.43152,53340.16677,15,1,0,100,0,21.19126697,41.30407365,49522,12078,4,20389620,20389620,124,9976,0.82596456,105,0.00869349,386,0.03195893,167,0.01382679,15,0.00124193,894,0.07401888,535,0.04429541
FORTUNA,289304.9109,358065.1024,158,1,10.26415064,100,0,23.52426979,45.92004036,48872.5,9342,4,17571716,17571716,125,7599,0.81342325,67,0.00717191,259,0.02772426,45,0.00481696,60,0.00642261,688,0.0736459,624,0.06679512
FOUNTAIN VALLEY,26201.5625,9423.693049,7,1,0,100,0,23.45967089,46.43712952,93454,53847,1,137721744,137721744,126,29962,0.5564284,267,0.00495849,141,0.00261853,18604,0.34549743,140,0.00259996,2072,0.0384794,2661,0.04941779
FOWLER,84149.10123,51443.67221,19,1,70.70799134,100,1,51.32610886,90.2005297,47406,5177,4,13479812,13479812,127,3946,0.7622175,50,0.0096581,31,0.00598802,408,0.07881012,1,0.00019316,489,0.09445625,252,0.04867684
FREMONT,4189145.551,2351006.555,14231,3,59.06329147,100,0,16.55727479,29.20923193,135033.5,227727,1,705689160,705689160,128,55360,0.2430981,7060,0.03100203,1052,0.00461957,133326,0.58546417,2028,0.0089054,17817,0.07823842,11084,0.04867231
FRENCH CAMP,112990.172,60798.15547,151,1,0,100,1,56.14622002,94.08500441,53250,6299,1,,-141557702.7,129,4040,0.64137165,724,0.11493888,55,0.00873154,556,0.08826798,46,0.00730275,483,0.07667884,395,0.06270837
FRESNO,5874454.692,3002237.46,684,5,7.372681682,100,0.664,46.16995249,84.44948922,43839,591168,2,849627432,849627432,130,362620,0.61339585,40652,0.06876556,6962,0.01177669,77674,0.13139074,752,0.00127206,77536,0.1311573,24972,0.0422418
FULLERTON,1050721.55,530717.7888,90,1,19.2749145,100,0.2,27.11149758,54.1241014,84479,155957,1,230208631,230208631,131,91441,0.58632187,3691,0.02366678,585,0.00375103,36690,0.23525715,421,0.00269946,15618,0.10014299,7511,0.04816071
GARBERVILLE,20410.4792,6670.862373,62,2,0,100,0,10.0760367,13.45693026,65283,3241,10,,-156910375,132,3162,0.97562481,32,0.0098735,3,0.00092564,3,0.00092564,0,0,27,0.00833076,14,0.00431965
GARDENA,13146.65352,42208.28104,8,1,0,100,0.8,56.29544214,94.20481776,56535,79331,1,142671233,142671233,133,21353,0.26916338,16684,0.21030871,450,0.00567244,18260,0.23017484,753,0.00949188,18410,0.23206565,3421,0.04312312
GEORGETOWN,6140.94708,5053.380547,7,2,0,100,0,14.08682116,22.67625173,64883,7911,2,,-133464665.5,134,7415,0.93730249,33,0.00417141,185,0.02338516,44,0.00556188,0,0,53,0.00669953,181,0.02287953
GEYSERVILLE,93111.71767,31897.2663,13,1,0,100,0,15.5125336,26.42199521,104792,3644,2,,-154887115.7,135,2788,0.7650933,28,0.00768386,41,0.01125137,55,0.0150933,26,0.00713502,586,0.16081229,120,0.03293085
GILROY,2779159.006,1773220.929,95,3,6.823748777,100,0.2,27.45469124,54.59704881,96547.5,62228,6,132694169,132694169,136,47108,0.75702256,936,0.01504146,351,0.00564055,5764,0.09262711,0,0,4961,0.07972295,3108,0.04994536
GLEN ELLEN,58889.13057,28515.95513,27,1,0,100,0,7.464265917,7.327531845,117167,4782,4,,-149173792.9,137,3997,0.83584274,20,0.00418235,58,0.01212882,160,0.0334588,0,0,406,0.08490171,141,0.02948557
GOLETA,60493.62236,136099.8914,19,1,0,100,0,7.729470845,7.781561357,96250,56967,1,79722144,79722144,138,38318,0.67263503,1678,0.02945565,256,0.00449383,8690,0.15254446,0,0,4856,0.08524233,3169,0.0556287
GONZALES,102710.78,15273.97739,361,2,0,100,0,26.19232829,52.2260058,54205,5469,2,13714502,13714502,139,2182,0.39897605,2,0.0003657,9,0.00164564,0,0,33,0.00603401,3243,0.59297861,0,0
GRANITE BAY,3220.672,5431.173093,5,1,0,100,0,5.231010659,3.443057132,136534.5,25063,1,,-47353143.21,140,20668,0.8246419,852,0.03399433,110,0.00438894,1867,0.07449228,14,0.00055859,305,0.01216933,1247,0.04975462
GRASS VALLEY,735915.6256,504653.9775,204,4,70.46580579,100,0,11.87112952,17.46752428,76103.5,47806,6,43207378,43207378,141,44138,0.92327323,160,0.00334686,338,0.00707024,546,0.01142116,27,0.00056478,308,0.00644271,2289,0.04788102
GREENBRAE,278.028,443.3790589,5,1,0,100,0,5.588140253,3.934922437,194808,12130,1,,-112283199.1,142,10372,0.85507007,65,0.00535862,8,0.00065952,789,0.06504534,14,0.00115416,472,0.03891179,410,0.03380049
GREENFIELD,382413.8566,160964.8627,541,2,4.639718211,100,0,22.19617776,43.39765418,63827,18424,4,21125795,21125795,143,9527,0.51709726,168,0.00911854,11,0.00059705,144,0.00781589,0,0,8227,0.44653713,347,0.01883413
GROVER BEACH,178879.2887,101869.0331,126,2,0,100,0,14.68362273,24.3977803,64127.5,13535,1,26760953,26760953,144,10837,0.80066494,261,0.01928334,84,0.00620613,534,0.03945327,62,0.00458072,1165,0.08607314,592,0.04373846
GUERNEVILLE,33654.98945,16502.99496,10,1,0,100,0,11.49538742,16.24416698,60331,7577,2,,-135141510.7,145,6912,0.91223439,70,0.00923848,64,0.00844661,116,0.01530949,18,0.00237561,68,0.00897453,329,0.04342088
GUSTINE,149519.2052,88486.65877,285,2,0,100,1,52.1336534,90.8941859,60521,8712,7,6580991,6580991,146,6316,0.72497704,14,0.00160698,37,0.00424702,20,0.00229568,0,0,2069,0.23748852,256,0.02938476
HACIENDA HEIGHTS,45187.506,20846.16277,2,1,0,100,0.4285714286,34.04003262,66.60360701,85044.5,56972,1,,112845817,147,21055,0.36956751,613,0.01075967,394,0.00691568,22260,0.39071825,68,0.00119357,10998,0.1930422,1584,0.02780313
HALF MOON BAY,55886.776,16365.99126,172,1,64.94881558,100,0,16.17893726,28.50926977,145873,11860,4,46348862,46348862,148,9612,0.81045531,62,0.00522766,3,0.00025295,617,0.05202361,5,0.00042159,1192,0.1005059,369,0.03111298
HANFORD,115711.1587,345368.002,97,3,0,100,0.3846153846,38.95330355,74.34733258,55670,72726,6,83416244,83416244,149,53863,0.74062921,3591,0.04937711,846,0.0116327,3133,0.0430795,170,0.00233754,7638,0.10502434,3485,0.04791959
HAWTHORNE,114878.4755,300698.0243,9,1,0,100,0.75,45.94890733,84.10266112,52779.5,104391,1,197009382,197009382,150,38879,0.37243632,23748,0.22749088,1137,0.01089174,8140,0.07797607,618,0.00592005,27478,0.26322193,4391,0.04206301
HAYWARD,2427577.601,1694410.478,1665,3,9.348900499,100,0.05555555556,29.52929838,58.60133686,81092.5,176116,1,467224536,467224536,151,64035,0.36359558,18325,0.10405074,1332,0.0075632,42800,0.24302164,3374,0.01915783,34015,0.19313975,12235,0.06947126
HEALDSBURG,161079.4703,50696.12958,19,1,0,100,0,19.08242897,35.99445075,96324,19524,2,47630835,47630835,152,15692,0.80372874,83,0.00425118,271,0.01388035,381,0.01951444,8,0.00040975,2188,0.1120672,901,0.04614833
HEMET,54444.55183,25563.48474,25,1,0,100,0.12,31.21898147,61.6597301,41531,116515,1,125934873,125934873,153,87816,0.75368837,7867,0.0675192,1897,0.01628117,3126,0.02682916,465,0.0039909,10558,0.09061494,4786,0.04107626
HERCULES,257024.3127,165130.0705,51,1,0,100,0,18.35257239,34.15310884,122232,22381,1,35619267,35619267,154,6355,0.2839462,3492,0.1560252,16,0.00071489,10478,0.46816496,149,0.00665743,860,0.03842545,1031,0.04606586
HERMOSA BEACH,298583.4347,539726.5329,48,1,80.89578061,100,0,5.840042359,4.363728087,136285,19539,1,85675375,85675375,155,16526,0.84579559,192,0.0098265,120,0.00614156,1013,0.05184503,0,0,328,0.01678694,1360,0.06960438
HESPERIA,17875.58119,60882.01474,4,1,0,100,0.06666666667,27.63356546,55.13936184,52117,102311,1,94458935,94458935,156,82768,0.80898437,4130,0.04036712,1442,0.01409428,2616,0.0255691,114,0.00111425,7394,0.07226984,3847,0.03760104
HOLLISTER,1595535.862,931755.0827,2295,3,32.29871493,100,0,31.87908733,62.92092319,91935,51064,7,69688403,69688403,157,41539,0.81346937,480,0.00939997,440,0.00861664,1389,0.02720116,44,0.00086166,4449,0.08712596,2723,0.05332524
HOOPA,18054.192,18058.98547,12,1,0,100,0,12.04645218,18.11073275,40739.5,5686,10,,-144635265.9,158,2045,0.35965529,25,0.00439676,3178,0.55891664,0,0,102,0.0179388,2,0.00035174,334,0.05874077
HUNTINGTON BEACH,1958349.548,1225646.017,79,1,0,100,0.02380952381,12.47967905,18.9052844,98057.5,197574,1,484982227,484982227,159,140150,0.70935447,2645,0.01338739,1011,0.00511707,24608,0.1245508,919,0.00465142,16918,0.08562868,11323,0.05731017
HUNTINGTON PARK,51889.14,11283.95641,3,1,0,100,0.9545454545,51.97558718,90.7302308,45434,74249,1,89389533,89389533,160,50706,0.68291829,702,0.00945467,422,0.00568358,325,0.00437716,120,0.00161618,21179,0.2852429,795,0.01070721
HURON,4217.2,2127.67932,5,1,0,100,0.5,40.01658418,75.84184639,33216.5,8085,7,5279306,5279306,161,3762,0.46530612,38,0.00470006,543,0.06716141,18,0.00222635,0,0,3654,0.45194805,70,0.00865801
INDIAN WELLS,7804.710144,100168.5954,7,1,0,100,0,7.929509021,9.553537647,92366,3942,1,61437788,61437788,162,3399,0.86225266,9,0.00228311,0,0,190,0.04819888,15,0.00380518,237,0.06012177,92,0.02333841
INGLEWOOD,181450.2597,638693.0973,36,1,0,100,0.65625,44.59060297,82.34960272,53807.5,131234,1,349011310,349011310,163,40821,0.31105506,45325,0.34537544,1364,0.01039365,2851,0.02172455,881,0.0067132,35145,0.26780408,4847,0.03693403
IONE,117771.4356,89756.47295,19,1,0,100,0,27.92602584,55.72581662,66348,10220,3,6978794,6978794,164,9555,0.93493151,12,0.00117417,33,0.00322896,37,0.00362035,11,0.00107632,181,0.01771037,391,0.03825832
IRVINE,487780.126,402596.0347,212,2,0,100,0.02941176471,15.57282033,26.67423383,108943,261711,1,630558569,630558569,165,126848,0.48468731,4385,0.01675512,644,0.00246073,109953,0.42013137,573,0.00218944,6181,0.02361765,13127,0.05015838
ISLETON,346697.3927,136127.0945,105,2,0,100,0,31.01731621,61.30659604,40395,1514,10,2432600,2432600,166,1287,0.85006605,9,0.00594452,24,0.01585205,34,0.02245707,8,0.00528402,83,0.05482166,69,0.04557464
JACKSON,243215.507,210977.5483,49,2,0,100,0,23.25754909,45.75608526,65244,3152,7,8889475,8889475,167,2686,0.85215736,5,0.00158629,32,0.01015228,113,0.03585025,32,0.01015228,169,0.05361675,115,0.03648477
JAMESTOWN,8894.70188,8761.571028,10,1,0,100,0,23.50087429,46.52541304,61163,13181,5,,-107006659.3,168,10976,0.83271375,837,0.06350049,225,0.01707003,137,0.01039375,47,0.00356574,414,0.03140885,545,0.04134739
KELSEYVILLE,83140.27333,69937.71934,24,1,0,100,0,15.49905091,26.59856224,62384.5,9457,4,,-125702981,169,7800,0.82478587,353,0.03732685,32,0.00338374,29,0.00306651,0,0,901,0.09527334,342,0.03616369
KERMAN,91387.226,27449.4541,243,2,0,100,1,46.04383315,84.31075798,61776,22144,6,15764892,15764892,170,15708,0.70935694,116,0.00523844,114,0.00514812,634,0.02863078,43,0.00194184,4903,0.22141438,626,0.02826951
KING CITY,1145487.874,594362.9807,616,3,41.57210813,100,0,26.32434278,52.51608021,48178,13528,4,19869920,19869920,171,5701,0.42142224,143,0.01057067,95,0.00702247,231,0.01707569,0,0,7025,0.51929332,333,0.02461561
KINGSBURG,102094.965,17583.56896,443,2,0,100,0.6666666667,43.17727738,80.35061168,62808,16545,4,17653091,17653091,172,13197,0.79764279,119,0.00719251,209,0.01263222,484,0.02925355,0,0,1668,0.10081596,868,0.05246298
LA HABRA,8207.1,88671.79892,1,1,0,100,0.3846153846,36.47332135,70.74032034,74688,64062,1,110309736,110309736,173,38119,0.59503294,818,0.01276888,463,0.00722737,6344,0.09902907,0,0,15698,0.24504386,2620,0.04089788
LA PALMA,258769.5959,208343.2201,7,1,0,100,0,17.28866177,31.05057384,111169,14476,1,30352410,30352410,174,5466,0.37759049,711,0.04911578,107,0.00739154,6989,0.48279912,102,0.00704615,453,0.03129317,648,0.04476375
LAFAYETTE,58446.034,50161.69414,96,1,47.78192686,100,0,3.73649517,1.614327153,188247,29449,1,46623270,46623270,175,23716,0.80532446,145,0.00492377,97,0.00329383,3261,0.11073381,44,0.00149411,350,0.01188495,1836,0.06234507
LAKE ELSINORE,22505.59987,129450.9237,9,1,0,100,0.1818181818,26.75061734,53.4493631,57461,76453,1,80070282,80070282,176,40168,0.52539469,3387,0.04430173,381,0.00498345,3659,0.04785947,131,0.00171347,24847,0.32499706,3880,0.05075013
LAKEHEAD,18337.329,22228.64453,3,1,0,100,0,13.14271893,20.48177576,49265,1670,2,,-164797572,177,1426,0.85389222,8,0.00479042,42,0.0251497,63,0.03772455,0,0,5,0.00299401,126,0.0754491
LAKEPORT,332640.5222,276142.0942,60,2,7.2618017,100,0,21.67953533,42.41392357,48806,16029,4,14063969,14063969,178,12222,0.76249298,113,0.00704972,811,0.0505958,371,0.02314555,8,0.0004991,2161,0.13481814,343,0.02139871
LAKEWOOD,447427.3465,289293.5491,94,1,54.19585152,100,0.1111111111,21.44325621,41.71396141,93614,83312,1,110917660,110917660,179,40004,0.48017092,7612,0.09136739,450,0.00540138,15898,0.19082485,883,0.01059871,13256,0.15911273,5209,0.06252401
LAMONT,195101.8783,81125.13248,50,1,0,100,0.3333333333,31.81774369,62.76958002,43278,17003,1,,-87818329.19,180,14969,0.88037405,0,0,0,0,76,0.0044698,0,0,1879,0.11050991,79,0.00464624
LANCASTER,178206.48,59681.73291,4,1,0,100,0.02631578947,22.26934969,43.61205701,55375.5,183225,4,229597335,229597335,181,117220,0.63975986,35105,0.19159503,1314,0.00717151,7692,0.04198117,160,0.00087324,13353,0.07287761,8381,0.04574157
LARKSPUR,188624.0022,96243.40748,57,2,0,100,0,5.406254566,3.707907681,122685,5857,1,55367046,55367046,182,5291,0.9033635,24,0.00409766,44,0.00751238,184,0.0314154,0,0,1,0.00017074,313,0.05344033
LATHROP,162052.134,83907.66444,66,2,49.71023494,100,1,55.70890235,93.66881069,87149,28172,1,79758865,79758865,183,13170,0.46748545,1693,0.06009513,305,0.01082635,7179,0.25482749,473,0.01678972,2680,0.09512992,2672,0.09484595
LATON,9009.885,3099.815518,6,1,100,100,1,40.42185572,76.65531593,37917,3407,10,,-156076972.9,184,2655,0.77927796,0,0,18,0.00528324,0,0,0,0,603,0.17698855,131,0.03845025
LAWNDALE,38370.91306,25762.23824,6,2,0,100,0.5,40.44706166,76.54811452,60346,32819,1,41197250,41197250,185,13966,0.42554618,3352,0.10213596,57,0.0017368,3617,0.11021055,329,0.01002468,10094,0.30756574,1404,0.0427801
LE GRAND,6734.21,4348.793789,6,2,0,100,1,39.48347714,75.20494388,48806,2345,10,,-161408738.1,186,1377,0.58720682,42,0.01791045,10,0.00426439,34,0.01449893,0,0,799,0.34072495,83,0.03539446
LEMOORE,71359,4635.430723,354,1,0,100,0.3333333333,35.12702237,68.56476227,58399,37546,3,22979971,22979971,187,24931,0.66401215,2709,0.07215149,413,0.01099984,2446,0.06514675,76,0.00202418,5101,0.13586001,1870,0.04980557
LINCOLN,179791.3662,125289.3135,612,1,90.96556214,100,0,8.719105001,10.30394753,87333,52810,2,54217702,54217702,188,43812,0.8296156,917,0.01736414,121,0.00229123,3406,0.06449536,116,0.00219655,2603,0.04928991,1835,0.03474721
LINDEN,4926.475,5196.594565,10,1,0,100,0,22.26079713,43.58683314,87554,5944,10,,-143339978.3,189,4057,0.68253701,54,0.00908479,20,0.00336474,147,0.02473082,0,0,753,0.12668237,913,0.15360027
LINDSAY,12880.35697,258237.2456,7,1,0,100,0.25,37.91341115,73.01677387,33603,18018,4,16787161,16787161,190,14739,0.81801532,66,0.003663,72,0.003996,194,0.01076701,25,0.0013875,2701,0.14990565,221,0.01226551
LITTLEROCK,19593.18,10346.95218,2,1,0,100,0,22.99024501,45.28313785,53484.5,14024,1,,-102774382.4,191,7795,0.55583286,1016,0.07244723,347,0.0247433,265,0.01889618,42,0.00299487,4010,0.28593839,549,0.03914718
LIVE OAK,88710,5601.785611,424,1,0,100,0,27.45531705,54.73578005,59359,14220,2,8051602,8051602,192,10923,0.76814346,201,0.01413502,156,0.01097046,839,0.05900141,18,0.00126582,857,0.06026723,1226,0.0862166
LIVERMORE,311823.9396,158903.0106,64,3,0.08450996525,100,0,15.98359668,27.6831883,128963,99939,2,278185345,278185345,193,74761,0.74806632,1865,0.01866138,317,0.00317193,13059,0.13066971,469,0.00469286,3207,0.03208957,6261,0.06264822
LIVINGSTON,108230.7,106110.943,355,3,73.3349402,100,1,44.4721416,82.21717745,55500,18171,2,15642992,15642992,194,6056,0.3332783,51,0.00280667,204,0.01122668,3121,0.1717572,21,0.00115569,8230,0.45291949,488,0.02685598
LOCKEFORD,59742.55404,33293.88182,6,1,0,100,0,23.07569341,45.35250347,63287,2902,2,,-158612322.7,195,2365,0.8149552,3,0.00103377,17,0.00585803,12,0.00413508,0,0,208,0.07167471,297,0.10234321
LOLETA,26910.7948,19397.09667,33,2,0,100,0,27.5470879,54.91234708,42407,4606,4,,-150057400,196,3887,0.84389926,28,0.00607903,153,0.03321754,37,0.008033,0,0,276,0.05992184,225,0.04884933
LOMPOC,53462.99,16381.08075,78,2,0,100,0,19.93016348,38.15109093,66845,60288,4,54639791,54639791,197,40773,0.67630374,2884,0.04783705,1124,0.01864384,2291,0.03800093,248,0.00411359,8735,0.14488787,4233,0.07021298
LONG BEACH,6799532.551,3395863.24,1029,2,90.30723317,100,0.5221238938,42.91527661,80.0542313,60616,476520,1,1371076040,1371076040,198,244232,0.51253253,59734,0.12535465,4962,0.01041299,62364,0.13087384,3907,0.00819903,78916,0.165609,22405,0.04701796
LOOMIS,160948.9534,140994.0352,69,2,94.81073961,100,0,9.428444747,11.6975659,104185,16427,1,13260857,13260857,199,13925,0.84768978,228,0.01387959,100,0.00608754,633,0.03853412,23,0.00140013,277,0.01686248,1241,0.07554636
LOS ALTOS,157297.923,87197.97714,9,1,53.53166393,100,0,3.857075602,1.727834531,215250,47624,1,103229406,103229406,200,29824,0.62623887,262,0.00550143,39,0.00081891,14576,0.30606417,12,0.00025197,400,0.00839913,2511,0.05272552
LOS ANGELES,494326.1941,6726397.771,402,26,0,3.528955584,0.6075949367,44.87034626,82.63967713,48767,2484718,2,14545311557,14545311557,201,1118517,0.45015853,319601,0.12862667,22209,0.00893824,278497,0.11208395,3582,0.00144161,656224,0.26410402,86088,0.03464699
LOS BANOS,429352.3887,310585.4039,31,2,0,100,0.8,50.5343926,89.36814226,55719,43374,7,57896757,57896757,202,26373,0.60803707,1086,0.02503804,586,0.0135104,1368,0.03153963,326,0.00751602,11665,0.26893992,1970,0.04541891
LOS GATOS,691857.232,456849.4593,1385,1,52.8325748,100,0,4.910105889,3.064699205,167875,49210,2,92527652,92527652,203,39129,0.79514326,333,0.00676692,130,0.00264174,6745,0.13706564,32,0.00065027,430,0.00873806,2411,0.04899411
LOS OLIVOS,370,27.86442615,2,1,0,100,0,9.156166222,11.1867827,99583,2620,4,,-160028102.1,204,2397,0.9148855,26,0.00992366,0,0,7,0.00267176,53,0.02022901,88,0.03358779,49,0.01870229
LOS OSOS,120177.4419,60800.9365,93,2,0,100,0,6.536612117,5.725816623,76587,15829,2,,-93712389.78,205,14087,0.88994883,31,0.00195843,117,0.0073915,683,0.04314865,0,0,369,0.02331164,542,0.03424095
LOST HILLS,42239.3013,17663.68001,6,1,0,100,1,48.63455888,87.41329298,35560,2635,10,,-159952794.7,206,2419,0.91802657,0,0,33,0.01252372,26,0.00986717,0,0,157,0.05958254,0,0
LOWER LAKE,44483.09022,31346.01777,8,1,0,100,0,17.7809444,32.482028,34567.5,7286,4,,-136602474.6,207,4801,0.65893494,0,0,413,0.05668405,80,0.01097996,11,0.00150974,1568,0.21520725,413,0.05668405
LYNWOOD,116518.2067,143098.657,35,1,0,100,1,52.07462884,90.83112625,57386,69438,1,98449996,98449996,208,40359,0.58122354,5978,0.08609119,477,0.00686944,598,0.008612,95,0.00136813,20989,0.30226965,942,0.01356606
MADERA,867068.299,398457.6617,582,3,7.312178346,100,0.6153846154,41.83546782,78.55971749,59471,103572,2,80065732,80065732,209,68225,0.6587205,3209,0.03098328,1137,0.01097787,1919,0.01852817,111,0.00107172,26244,0.25338895,2727,0.02632951
MAGALIA,17489.88,58160.98099,4,1,0,100,0,15.45626653,26.37154748,55908,8458,4,,-130718455,210,7509,0.88779853,5,0.00059116,129,0.01525183,113,0.01336013,0,0,106,0.01253251,596,0.07046583
