city,county
ACAMPO,SAN JOAQUIN
ACTON,LOS ANGELES
ADELANTO,SAN BERNARDINO
AGOURA HILLS,LOS ANGELES
ALAMEDA,ALAMEDA
ALAMO,CONTRA COSTA
ALBANY,ALAMEDA
ALHAMBRA,LOS ANGELES
ALISO VIEJO,ORANGE
ALPINE,SAN DIEGO
ALTA,PLACER
ALTADENA,LOS ANGELES
ALTURAS,MODOC
ALVISO,SANTA CLARA
AMERICAN CANYON,NAPA
ANAHEIM,ORANGE
ANDERSON,SHASTA
ANGELS CAMP,CALAVERAS
ANGELUS OAKS,SAN BERNARDINO
ANGWIN,NAPA
ANTELOPE,SACRAMENTO
ANTIOCH,CONTRA COSTA
ANZA,RIVERSIDE
APPLE VALLEY,SAN BERNARDINO
APPLEGATE,PLACER
APTOS,SANTA CRUZ
ARBUCKLE,COLUSA
ARCADIA,LOS ANGELES
ARCATA,HUMBOLDT
ARNOLD,CALAVERAS
ARROYO GRANDE,SAN LUIS OBISPO
ARTESIA,LOS ANGELES
ARVIN,KERN
ATASCADERO,SAN LUIS OBISPO
ATHERTON,SAN MATEO
ATWATER,MERCED
AUBURN,PLACER
AVALON,LOS ANGELES
AVENAL,KINGS
AZUSA,LOS ANGELES
BAKER,SAN BERNARDINO
BAKERSFIELD,KERN
BALDWIN PARK,LOS ANGELES
BALLICO,MERCED
BANNING,RIVERSIDE
BARSTOW,SAN BERNARDINO
BAYSIDE,HUMBOLDT
BEAUMONT,RIVERSIDE
BELL,LOS ANGELES
BELLFLOWER,LOS ANGELES
BELMONT,SAN MATEO
BELVEDERE TIBURON,MARIN
BEN LOMOND,SANTA CRUZ
BENICIA,SOLANO
BERKELEY,ALAMEDA
BERRY CREEK,BUTTE
BEVERLY HILLS,LOS ANGELES
BIG BAR,TRINITY
BIG BEAR CITY,SAN BERNARDINO
BIG BEAR LAKE,SAN BERNARDINO
BIGGS,BUTTE
BISHOP,INYO
BLAIRSDEN-GRAEAGLE,PLUMAS
BLOCKSBURG,HUMBOLDT
BLOOMINGTON,SAN BERNARDINO
BLUE LAKE,HUMBOLDT
BLYTHE,RIVERSIDE
BONITA,SAN DIEGO
BONSALL,SAN DIEGO
BORON,KERN
BORREGO SPRINGS,SAN DIEGO
BOULDER CREEK,SANTA CRUZ
BRADLEY,MONTEREY
BRAWLEY,IMPERIAL
BREA,ORANGE
BRENTWOOD,CONTRA COSTA
BRIDGEPORT,MONO
BRIDGEVILLE,HUMBOLDT
BRISBANE,SAN MATEO
BUENA PARK,ORANGE
BURBANK,LOS ANGELES
BURLINGAME,SAN MATEO
BURNEY,SHASTA
BUTTONWILLOW,KERN
CALABASAS,LOS ANGELES
CALEXICO,IMPERIAL
CALIENTE,KERN
CALIFORNIA CITY,KERN
CALIFORNIA HOT SPRINGS,TULARE
CALIMESA,RIVERSIDE
CALIPATRIA,IMPERIAL
CALISTOGA,NAPA
CALPINE,SIERRA
CAMARILLO,VENTURA
CAMBRIA,SAN LUIS OBISPO
CAMINO,EL DORADO
CAMP PENDLETON,SAN DIEGO
CAMPBELL,SANTA CLARA
CAMPO,SAN DIEGO
CANOGA PARK,LOS ANGELES
CANTUA CREEK,FRESNO
CANYON COUNTRY,LOS ANGELES
CAPISTRANO BEACH,ORANGE
CAPITOLA,SANTA CRUZ
CARDIFF BY THE SEA,SAN DIEGO
CARLSBAD,SAN DIEGO
CARMEL,MONTEREY
CARMEL VALLEY,MONTEREY
CARMICHAEL,SACRAMENTO
CARNELIAN BAY,PLACER
CARPINTERIA,SANTA BARBARA
CARSON,LOS ANGELES
CARUTHERS,FRESNO
CASSEL,SHASTA
CASTAIC,LOS ANGELES
CASTRO VALLEY,ALAMEDA
CASTROVILLE,MONTEREY
CATHEDRAL CITY,RIVERSIDE
CATHEYS VALLEY,MARIPOSA
CAYUCOS,SAN LUIS OBISPO
CAZADERO,SONOMA
CEDARVILLE,MODOC
CERES,STANISLAUS
CERRITOS,LOS ANGELES
CHALLENGE,YUBA
CHANNEL IS AIR GUARD STATION,VENTURA
CHANNEL ISLANDS,SANTA BARBARA
CHATSWORTH,LOS ANGELES
CHESTER,PLUMAS
CHICO,BUTTE
CHINO,SAN BERNARDINO
CHINO HILLS,SAN BERNARDINO
CHOWCHILLA,MADERA
CHUALAR,MONTEREY
CHULA VISTA,SAN DIEGO
CITRUS HEIGHTS,SACRAMENTO
CLAREMONT,LOS ANGELES
CLAYTON,CONTRA COSTA
CLEARLAKE,LAKE
CLEARLAKE OAKS,LAKE
CLOVERDALE,SONOMA
CLOVIS,FRESNO
COACHELLA,RIVERSIDE
COALINGA,FRESNO
COARSEGOLD,MADERA
COLFAX,PLACER
COLTON,SAN BERNARDINO
COLUSA,COLUSA
COMPTCHE,MENDOCINO
COMPTON,LOS ANGELES
CONCORD,CONTRA COSTA
COPPEROPOLIS,CALAVERAS
CORCORAN,KINGS
CORNING,TEHAMA
CORONA,RIVERSIDE
CORONA DEL MAR,ORANGE
CORONADO,SAN DIEGO
CORTE MADERA,MARIN
COSTA MESA,ORANGE
COTATI,SONOMA
COTTONWOOD,SHASTA
COULTERVILLE,MARIPOSA
COVELO,MENDOCINO
COVINA,LOS ANGELES
CRESCENT CITY,DEL NORTE
CRESCENT MILLS,PLUMAS
CRESTLINE,SAN BERNARDINO
CULVER CITY,LOS ANGELES
CUPERTINO,SANTA CLARA
CUTLER,TULARE
CYPRESS,ORANGE
DALY CITY,SAN MATEO
DANA POINT,ORANGE
DANVILLE,CONTRA COSTA
DAVENPORT,SANTA CRUZ
DAVIS,YOLO
DAVIS CREEK,MODOC
DEATH VALLEY,INYO
DEL MAR,SAN DIEGO
DEL REY,FRESNO
DELANO,KERN
DELHI,MERCED
DENAIR,STANISLAUS
DESCANSO,SAN DIEGO
DESERT CENTER,RIVERSIDE
DESERT HOT SPRINGS,RIVERSIDE
DIAMOND BAR,LOS ANGELES
DINUBA,TULARE
DISCOVERY BAY,CONTRA COSTA
DIXON,SOLANO
DOS PALOS,MERCED
DOWNEY,LOS ANGELES
DUARTE,LOS ANGELES
DUBLIN,ALAMEDA
DUNNIGAN,YOLO
DUNSMUIR,SISKIYOU
DURHAM,BUTTE
EARLIMART,TULARE
EARP,SAN BERNARDINO
EDWARDS,KERN
EL CAJON,SAN DIEGO
EL CENTRO,IMPERIAL
EL CERRITO,CONTRA COSTA
EL DORADO,EL DORADO
EL DORADO HILLS,EL DORADO
EL MONTE,LOS ANGELES
EL SEGUNDO,LOS ANGELES
EL SOBRANTE,CONTRA COSTA
ELDORADO NTL FOREST,EL DORADO
ELK,MENDOCINO
ELK CREEK,GLENN
ELK GROVE,SACRAMENTO
ELVERTA,SACRAMENTO
EMERYVILLE,ALAMEDA
ENCINITAS,SAN DIEGO
ENCINO,LOS ANGELES
ESCALON,SAN JOAQUIN
ESCONDIDO,SAN DIEGO
ESSEX,SAN BERNARDINO
EUREKA,HUMBOLDT
EXETER,TULARE
FAIR OAKS,SACRAMENTO
FAIRFAX,MARIN
FAIRFIELD,SOLANO
FALLBROOK,SAN DIEGO
FARMERSVILLE,TULARE
FARMINGTON,STANISLAUS
FELTON,SANTA CRUZ
FERNDALE,HUMBOLDT
FIDDLETOWN,AMADOR
FILLMORE,VENTURA
FIREBAUGH,FRESNO
FOLSOM,SACRAMENTO
FONTANA,SAN BERNARDINO
FOOTHILL RANCH,ORANGE
FOREST RANCH,BUTTE
FORESTHILL,PLACER
FORESTVILLE,SONOMA
FORKS OF SALMON,SISKIYOU
FORT BRAGG,MENDOCINO
FORT IRWIN,SAN BERNARDINO
FORT JONES,SISKIYOU
FORTUNA,HUMBOLDT
FOUNTAIN VALLEY,ORANGE
FOWLER,FRESNO
FRAZIER PARK,KERN
FREMONT,ALAMEDA
FRENCH CAMP,SAN JOAQUIN
FRESNO,FRESNO
FULLERTON,ORANGE
GALT,SACRAMENTO
GARBERVILLE,HUMBOLDT
GARDEN GROVE,ORANGE
GARDENA,LOS ANGELES
GEORGETOWN,EL DORADO
GERBER,TEHAMA
GEYSERVILLE,SONOMA
GILROY,SANTA CLARA
GLEN ELLEN,SONOMA
GLENDALE,LOS ANGELES
GLENDORA,LOS ANGELES
GLENN,GLENN
GOLETA,SANTA BARBARA
GONZALES,MONTEREY
GRANADA HILLS,LOS ANGELES
GRAND TERRACE,SAN BERNARDINO
GRANITE BAY,PLACER
GRASS VALLEY,NEVADA
GREENBRAE,MARIN
GREENFIELD,MONTEREY
GRIDLEY,BUTTE
GROVER BEACH,SAN LUIS OBISPO
GUERNEVILLE,SONOMA
GUSTINE,MERCED
HACIENDA HEIGHTS,LOS ANGELES
HALF MOON BAY,SAN MATEO
HANFORD,KINGS
HARBOR CITY,LOS ANGELES
HAWAIIAN GARDENS,LOS ANGELES
HAWTHORNE,LOS ANGELES
HAYFORK,TRINITY
HAYWARD,ALAMEDA
HEALDSBURG,SONOMA
HEMET,RIVERSIDE
HERALD,SACRAMENTO
HERCULES,CONTRA COSTA
HERLONG,LASSEN
HERMOSA BEACH,LOS ANGELES
HESPERIA,SAN BERNARDINO
HIGHLAND,SAN BERNARDINO
HILMAR,MERCED
HINKLEY,SAN BERNARDINO
HOLLISTER,SAN BENITO
HOLTVILLE,IMPERIAL
HOMELAND,RIVERSIDE
HOOPA,HUMBOLDT
HOPLAND,MENDOCINO
HORNBROOK,SISKIYOU
HUGHSON,STANISLAUS
HUNTINGTON BEACH,ORANGE
HUNTINGTON PARK,LOS ANGELES
HURON,FRESNO
IDYLLWILD,RIVERSIDE
IGO,SHASTA
IMPERIAL,IMPERIAL
IMPERIAL BEACH,SAN DIEGO
INDEPENDENCE,INYO
INDIAN WELLS,RIVERSIDE
INDIO,RIVERSIDE
INGLEWOOD,LOS ANGELES
IONE,AMADOR
IRVINE,ORANGE
ISLETON,SACRAMENTO
JACKSON,AMADOR
JAMESTOWN,TUOLUMNE
JAMUL,SAN DIEGO
JANESVILLE,LASSEN
JOSHUA TREE,SAN BERNARDINO
JULIAN,SAN DIEGO
KELSEYVILLE,LAKE
KERMAN,FRESNO
KETTLEMAN CITY,KINGS
KING CITY,MONTEREY
KINGS BEACH,PLACER
KINGS CANYON NATIONAL PK,FRESNO
KINGSBURG,FRESNO
KLAMATH,DEL NORTE
KORBEL,HUMBOLDT
KYBURZ,EL DORADO
LA CANADA FLINTRIDGE,LOS ANGELES
LA CRESCENTA,LOS ANGELES
LA HABRA,ORANGE
LA JOLLA,SAN DIEGO
LA MESA,SAN DIEGO
LA MIRADA,LOS ANGELES
LA PALMA,ORANGE
LA PUENTE,LOS ANGELES
LA QUINTA,RIVERSIDE
LA VERNE,LOS ANGELES
LADERA RANCH,ORANGE
LAFAYETTE,CONTRA COSTA
LAGUNA BEACH,ORANGE
LAGUNA HILLS,ORANGE
LAGUNA NIGUEL,ORANGE
LAGUNA WOODS,ORANGE
LAKE ARROWHEAD,SAN BERNARDINO
LAKE ELSINORE,RIVERSIDE
LAKE FOREST,ORANGE
LAKE HUGHES,LOS ANGELES
LAKEHEAD,SHASTA
LAKEPORT,LAKE
LAKESIDE,SAN DIEGO
LAKEWOOD,LOS ANGELES
LAMONT,KERN
LANCASTER,LOS ANGELES
LANDERS,SAN BERNARDINO
LARKSPUR,MARIN
LATHROP,SAN JOAQUIN
LATON,FRESNO
LAWNDALE,LOS ANGELES
LE GRAND,MERCED
LEBEC,VENTURA
LEGGETT,MENDOCINO
LEMON GROVE,SAN DIEGO
LEMOORE,KINGS
LEWISTON,TRINITY
LINCOLN,PLACER
LINDEN,SAN JOAQUIN
LINDSAY,TULARE
LITCHFIELD,LASSEN
LITTLEROCK,LOS ANGELES
LIVE OAK,SUTTER
LIVERMORE,ALAMEDA
LIVINGSTON,MERCED
LLANO,LOS ANGELES
LOCKEFORD,SAN JOAQUIN
LODI,SAN JOAQUIN
LOLETA,HUMBOLDT
LOMA LINDA,SAN BERNARDINO
LOMITA,LOS ANGELES
LOMPOC,SANTA BARBARA
LONG BARN,TUOLUMNE
LONG BEACH,LOS ANGELES
LOOMIS,PLACER
LOS ALAMITOS,ORANGE
LOS ALTOS,SANTA CLARA
LOS ANGELES,LOS ANGELES
LOS BANOS,MERCED
LOS GATOS,SANTA CLARA
LOS OLIVOS,SANTA BARBARA
LOS OSOS,SAN LUIS OBISPO
LOS PADRES NTL FOREST,SANTA BARBARA
LOST HILLS,KERN
LOWER LAKE,LAKE
LUCERNE VALLEY,SAN BERNARDINO
LYNWOOD,LOS ANGELES
LYTLE CREEK,SAN BERNARDINO
MACDOEL,SISKIYOU
MADERA,MADERA
MAGALIA,BUTTE
MALIBU,LOS ANGELES
MAMMOTH LAKES,MONO
MANHATTAN BEACH,LOS ANGELES
MANTECA,SAN JOAQUIN
MARCH AIR RESERVE BASE,RIVERSIDE
MARICOPA,KERN
MARINA,MONTEREY
MARINA DEL REY,LOS ANGELES
MARIPOSA,MARIPOSA
MARKLEEVILLE,ALPINE
MARTINEZ,CONTRA COSTA
MARYSVILLE,YUBA
MATHER,SACRAMENTO
MAYWOOD,LOS ANGELES
MC FARLAND,KERN
MC KITTRICK,KERN
MCARTHUR,SHASTA
MCCLELLAN,SACRAMENTO
MCKINLEYVILLE,HUMBOLDT
MEADOW VISTA,PLACER
MECCA,RIVERSIDE
MENDOCINO NTL FOREST,LAKE
MENDOTA,FRESNO
MENIFEE,RIVERSIDE
MENLO PARK,SAN MATEO
MENTONE,SAN BERNARDINO
MERCED,MERCED
MERIDIAN,SUTTER
MI WUK VILLAGE,TUOLUMNE
MIDDLETOWN,LAKE
MIDWAY CITY,ORANGE
MILL VALLEY,MARIN
MILLBRAE,SAN MATEO
MILPITAS,SANTA CLARA
MIRA LOMA,RIVERSIDE
MISSION HILLS,LOS ANGELES
MISSION VIEJO,ORANGE
MODESTO,STANISLAUS
MODOC SHASTA KLAMATH FOR,SISKIYOU
MOJAVE,KERN
MONROVIA,LOS ANGELES
MONTAGUE,SISKIYOU
MONTCLAIR,SAN BERNARDINO
MONTEBELLO,LOS ANGELES
MONTEREY,MONTEREY
MONTEREY PARK,LOS ANGELES
MONTGOMERY CREEK,SHASTA
MONTROSE,LOS ANGELES
MOORPARK,VENTURA
MORAGA,CONTRA COSTA
MORENO VALLEY,RIVERSIDE
MORGAN HILL,SANTA CLARA
MORONGO VALLEY,SAN BERNARDINO
MORRO BAY,SAN LUIS OBISPO
MOSS BEACH,SAN MATEO
MOSS LANDING,MONTEREY
MOUNT SHASTA,SISKIYOU
MOUNTAIN CENTER,RIVERSIDE
MOUNTAIN RANCH,CALAVERAS
MOUNTAIN VIEW,SANTA CLARA
MURPHYS,CALAVERAS
MURRIETA,RIVERSIDE
NAPA,NAPA
NATIONAL CITY,SAN DIEGO
NEEDLES,SAN BERNARDINO
NEVADA CITY,NEVADA
NEWARK,ALAMEDA
NEWBURY PARK,VENTURA
NEWCASTLE,PLACER
NEWHALL,LOS ANGELES
NEWMAN,STANISLAUS
NEWPORT BEACH,ORANGE
NEWPORT COAST,ORANGE
NICE,LAKE
NICOLAUS,SUTTER
NIPOMO,SAN LUIS OBISPO
NORCO,RIVERSIDE
NORDEN,PLACER
NORTH HIGHLANDS,SACRAMENTO
NORTH HILLS,LOS ANGELES
NORTH HOLLYWOOD,LOS ANGELES
NORTHRIDGE,LOS ANGELES
NORWALK,LOS ANGELES
NOVATO,MARIN
NUEVO,RIVERSIDE
OAK PARK,VENTURA
OAK VIEW,VENTURA
OAKDALE,STANISLAUS
OAKHURST,MADERA
OAKLAND,ALAMEDA
OAKLEY,CONTRA COSTA
OCCIDENTAL,SONOMA
OCEANO,SAN LUIS OBISPO
OCEANSIDE,SAN DIEGO
OJAI,VENTURA
OLIVEHURST,YUBA
ONTARIO,SAN BERNARDINO
ORANGE,ORANGE
ORANGE COVE,FRESNO
ORANGEVALE,SACRAMENTO
ORINDA,CONTRA COSTA
ORLAND,GLENN
OROSI,TULARE
OROVILLE,BUTTE
OXNARD,VENTURA
PACIFIC GROVE,MONTEREY
PACIFIC PALISADES,LOS ANGELES
PACIFICA,SAN MATEO
PACOIMA,LOS ANGELES
PAICINES,SAN BENITO
PALM DESERT,RIVERSIDE
PALM SPRINGS,RIVERSIDE
PALMDALE,LOS ANGELES
PALO ALTO,SANTA CLARA
PALO CEDRO,SHASTA
PALOS VERDES PENINSULA,LOS ANGELES
PANORAMA CITY,LOS ANGELES
PARADISE,BUTTE
PARAMOUNT,LOS ANGELES
PARLIER,FRESNO
PASADENA,LOS ANGELES
PASO ROBLES,SAN LUIS OBISPO
PATTERSON,STANISLAUS
PAUMA VALLEY,SAN DIEGO
PEBBLE BEACH,MONTEREY
PENN VALLEY,NEVADA
PENNGROVE,SONOMA
PENRYN,PLACER
PERRIS,RIVERSIDE
PESCADERO,SAN MATEO
PETALUMA,SONOMA
PHELAN,SAN BERNARDINO
PHILO,MENDOCINO
PICO RIVERA,LOS ANGELES
PILOT HILL,EL DORADO
PINE GROVE,AMADOR
PINOLE,CONTRA COSTA
PINON HILLS,SAN BERNARDINO
PIONEER,AMADOR
PISMO BEACH,SAN LUIS OBISPO
PITTSBURG,CONTRA COSTA
PIXLEY,TULARE
PLACENTIA,ORANGE
PLACERVILLE,EL DORADO
PLAYA DEL REY,LOS ANGELES
PLEASANT HILL,CONTRA COSTA
PLEASANTON,ALAMEDA
PLYMOUTH,AMADOR
POINT ARENA,MENDOCINO
POINT MUGU NAWC,VENTURA
POINT REYES STATION,MARIN
POLLOCK PINES,EL DORADO
POMONA,LOS ANGELES
PORT HUENEME,VENTURA
PORT HUENEME CBC BASE,VENTURA
PORTER RANCH,LOS ANGELES
PORTERVILLE,TULARE
PORTOLA,PLUMAS
PORTOLA VALLEY,SAN MATEO
POTTER VALLEY,MENDOCINO
POWAY,SAN DIEGO
QUINCY,PLUMAS
RAMONA,SAN DIEGO
RANCHO CORDOVA,SACRAMENTO
RANCHO CUCAMONGA,SAN BERNARDINO
RANCHO MIRAGE,RIVERSIDE
RANCHO PALOS VERDES,LOS ANGELES
RANCHO SANTA FE,SAN DIEGO
RANCHO SANTA MARGARITA,ORANGE
RAYMOND,MADERA
RED BLUFF,TEHAMA
REDDING,SHASTA
REDLANDS,SAN BERNARDINO
REDONDO BEACH,LOS ANGELES
REDWOOD CITY,SAN MATEO
REDWOOD VALLEY,MENDOCINO
REEDLEY,FRESNO
RESCUE,EL DORADO
RESEDA,LOS ANGELES
RIALTO,SAN BERNARDINO
RICHMOND,CONTRA COSTA
RIDGECREST,KERN
RIO LINDA,SACRAMENTO
RIO VISTA,SOLANO
RIPON,SAN JOAQUIN
RIVERBANK,STANISLAUS
RIVERDALE,FRESNO
RIVERSIDE,RIVERSIDE
ROCKLIN,PLACER
RODEO,CONTRA COSTA
ROHNERT PARK,SONOMA
ROSAMOND,KERN
ROSEMEAD,LOS ANGELES
ROSEVILLE,PLACER
ROUGH AND READY,NEVADA
ROWLAND HEIGHTS,LOS ANGELES
RUNNING SPRINGS,SAN BERNARDINO
SACRAMENTO,SACRAMENTO
SAINT HELENA,NAPA
SALINAS,MONTEREY
SAN ANSELMO,MARIN
SAN BERNARDINO,SAN BERNARDINO
SAN BRUNO,SAN MATEO
SAN CARLOS,SAN MATEO
SAN CLEMENTE,ORANGE
SAN DIEGO,SAN DIEGO
SAN DIMAS,LOS ANGELES
SAN FERNANDO,LOS ANGELES
SAN FRANCISCO,SAN FRANCISCO
SAN GABRIEL,LOS ANGELES
SAN GERONIMO,MARIN
SAN JACINTO,RIVERSIDE
SAN JOSE,SANTA CLARA
SAN JUAN BAUTISTA,SAN BENITO
SAN JUAN CAPISTRANO,ORANGE
SAN LEANDRO,ALAMEDA
SAN LORENZO,ALAMEDA
SAN LUIS OBISPO,SAN LUIS OBISPO
SAN MARCOS,SAN DIEGO
SAN MARINO,LOS ANGELES
SAN MARTIN,SANTA CLARA
SAN MATEO,SAN MATEO
SAN PABLO,CONTRA COSTA
SAN PEDRO,LOS ANGELES
SAN QUENTIN,MARIN
SAN RAFAEL,MARIN
SAN RAMON,CONTRA COSTA
SAN YSIDRO,SAN DIEGO
SANGER,FRESNO
SANTA ANA,ORANGE
SANTA BARBARA,SANTA BARBARA
SANTA CLARA,SANTA CLARA
SANTA CLARITA,LOS ANGELES
SANTA CRUZ,SANTA CRUZ
SANTA FE SPRINGS,LOS ANGELES
SANTA MARGARITA,SAN LUIS OBISPO
SANTA MARIA,SANTA BARBARA
SANTA MONICA,LOS ANGELES
SANTA PAULA,VENTURA
SANTA ROSA,SONOMA
SANTEE,SAN DIEGO
SARATOGA,SANTA CLARA
SAUSALITO,MARIN
SCOTIA,HUMBOLDT
SCOTTS VALLEY,SANTA CRUZ
SEAL BEACH,ORANGE
SEASIDE,MONTEREY
SEBASTOPOL,SONOMA
SELMA,FRESNO
SHAFTER,KERN
SHANDON,SAN LUIS OBISPO
SHASTA LAKE,SHASTA
SHAVER LAKE,FRESNO
SHERMAN OAKS,LOS ANGELES
SHINGLE SPRINGS,EL DORADO
SHINGLETOWN,SHASTA
SIERRA MADRE,LOS ANGELES
SIGNAL HILL,LOS ANGELES
SILVERADO,ORANGE
SIMI VALLEY,VENTURA
SLOUGHHOUSE,SACRAMENTO
SNELLING,MERCED
SODA SPRINGS,NEVADA
SOLANA BEACH,SAN DIEGO
SOLEDAD,MONTEREY
SOLVANG,SANTA BARBARA
SOMERSET,EL DORADO
SOMES BAR,SISKIYOU
SOMIS,VENTURA
SONOMA,SONOMA
SONORA,TUOLUMNE
SOQUEL,SANTA CRUZ
SOUTH EL MONTE,LOS ANGELES
SOUTH GATE,LOS ANGELES
SOUTH LAKE TAHOE,EL DORADO
SOUTH PASADENA,LOS ANGELES
SOUTH SAN FRANCISCO,SAN MATEO
SOUTHEAST TRINITY COUNTY,TRINITY
SPRING VALLEY,SAN DIEGO
SPRINGVILLE,TULARE
STANFORD,SANTA CLARA
STANTON,ORANGE
STEVENSON RANCH,LOS ANGELES
STEVINSON,MERCED
STINSON BEACH,MARIN
STOCKTON,SAN JOAQUIN
STONYFORD,COLUSA
STRATHMORE,TULARE
STRAWBERRY VALLEY,PLUMAS
STUDIO CITY,LOS ANGELES
SUISUN CITY,SOLANO
SUN CITY,RIVERSIDE
SUN VALLEY,LOS ANGELES
SUNLAND,LOS ANGELES
SUNNYVALE,SANTA CLARA
SUNSET BEACH,ORANGE
SUSANVILLE,LASSEN
SUTTER CREEK,AMADOR
SYLMAR,LOS ANGELES
TAFT,KERN
TAHOE CITY,PLACER
TAHOMA,PLACER
TARZANA,LOS ANGELES
TEHACHAPI,KERN
TEMECULA,RIVERSIDE
TEMPLE CITY,LOS ANGELES
TEMPLETON,SAN LUIS OBISPO
TERMO,LASSEN
THERMAL,RIVERSIDE
THOUSAND OAKS,VENTURA
THOUSAND PALMS,RIVERSIDE
THREE RIVERS,TULARE
TIPTON,TULARE
TOPANGA,LOS ANGELES
TORRANCE,LOS ANGELES
TRABUCO CANYON,ORANGE
TRACY,SAN JOAQUIN
TRAVIS AFB,SOLANO
TRINIDAD,HUMBOLDT
TRUCKEE,NEVADA
TUJUNGA,LOS ANGELES
TULARE,TULARE
TURLOCK,STANISLAUS
TUSTIN,ORANGE
TWENTYNINE PALMS,SAN BERNARDINO
UKIAH,MENDOCINO
UNION CITY,ALAMEDA
UNIVERSAL CITY,LOS ANGELES
UPLAND,SAN BERNARDINO
VACAVILLE,SOLANO
VALENCIA,LOS ANGELES
VALLEJO,SOLANO
VALLEY CENTER,SAN DIEGO
VALLEY SPRINGS,CALAVERAS
VALLEY VILLAGE,LOS ANGELES
VALYERMO,LOS ANGELES
VAN NUYS,LOS ANGELES
VENICE,LOS ANGELES
VENTURA,VENTURA
VICTORVILLE,SAN BERNARDINO
VILLA PARK,ORANGE
VISALIA,TULARE
VISTA,SAN DIEGO
WALNUT,LOS ANGELES
WALNUT CREEK,CONTRA COSTA
WALNUT GROVE,SACRAMENTO
WARNER SPRINGS,SAN DIEGO
WASCO,KERN
WATERFORD,STANISLAUS
WATSONVILLE,SANTA CRUZ
WEED,SISKIYOU
WELDON,KERN
WEST COVINA,LOS ANGELES
WEST HILLS,LOS ANGELES
WEST HOLLYWOOD,LOS ANGELES
WEST SACRAMENTO,YOLO
WESTLAKE VILLAGE,LOS ANGELES
WESTMINSTER,ORANGE
WESTMORLAND,IMPERIAL
WHEATLAND,YUBA
WHITE WATER,RIVERSIDE
WHITTIER,LOS ANGELES
WILDOMAR,RIVERSIDE
WILLIAMS,COLUSA
WILLITS,MENDOCINO
WILLOWS,GLENN
WILMINGTON,LOS ANGELES
WILSEYVILLE,CALAVERAS
WILTON,SACRAMENTO
WINCHESTER,RIVERSIDE
WINDSOR,SONOMA
WINNETKA,LOS ANGELES
WINTERHAVEN,IMPERIAL
WINTERS,YOLO
WINTON,MERCED
WOFFORD HEIGHTS,KERN
WOODLAKE,TULARE
WOODLAND,YOLO
WOODLAND HILLS,LOS ANGELES
WRIGHTWOOD,SAN BERNARDINO
YORBA LINDA,ORANGE
YOSEMITE NATIONAL PARK,MARIPOSA
YOSEMITE NTL PARK,TUOLUMNE
YOUNTVILLE,NAPA
YREKA,SISKIYOU
YUBA CITY,SUTTER
YUCAIPA,SAN BERNARDINO
YUCCA VALLEY,SAN BERNARDINO
ZAMORA,YOLO
