County,Population,Mean Income,IRR,TotalRevenue,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,tot_pop,avg_pop,total_wa,avg_wa,perc_wa_avg,total_ba,avg_ba,perc_ba_avg,total_ia,avg_ia,perc_ia_avg,total_aa,avg_aa,perc_aa_avg,total_na,avg_na,perc_na_avg
ALAMEDA,1656754,76626,0.270123418,9617053146,0.1055555556,21.5329058,42.0986253,99406,13132657.58,-55166.94365,137563849.4,-572536.129,8383463.777,24202,7,21.651553,100,9996562,3332187.33,4978718,1659572.67,0.49804303,1116730,372243.333,0.11171141,107148,35716,0.01071849,3166714,1055571.33,0.31678031,94588,31529.3333,0.00946205
ALPINE,1039,78945,0.656044503,60490797,0,11.34335677,15.85319712,63750,0,0,0,0,0,0,0,0,0,6658,2219.33333,4634,1544.66667,0.69600481,18,6,0.00270351,1604,534.666667,0.24091319,120,40,0.01802343,2,0.66666667,0.00030039
AMADOR,38429,51453,0.502563215,243032260,0,23.25754909,45.75608526,62772,630359.8329,-4445.044561,6969586.501,-47535.94127,548418.4297,129,2,0,100,235372,78457.3333,211306,70435.3333,0.89775334,6170,2056.66667,0.02621382,5458,1819.33333,0.02318882,3946,1315.33333,0.01676495,634,211.333333,0.00269361
BUTTE,225817,62405,0.434554907,1290504922,0.03921568627,20.03326123,38.36549376,52537,1786076.096,-2434.795903,20324135.27,-26140.75881,1665997.939,5011,5,16.66113214,100,1356442,452147.333,1166438,388812.667,0.85992471,24600,8200,0.01813568,33976,11325.3333,0.02504788,66290,22096.6667,0.0488705,3834,1278,0.00282651
CALAVERAS,45514,70651,0.509595041,677652486,0,15.18085248,25.55177198,63158,57305.67863,-407.88066,617826.3065,-4790.258736,43309.63034,18,2,3.253733657,100,274568,91522.6667,250466,83488.6667,0.91221847,2762,920.666667,0.01005944,5310,1770,0.01933947,4888,1629.33333,0.01780251,700,233.333333,0.00254946
COLUSA,21454,51788,0.543578676,183757138,0,27.46890061,54.74839198,59401,195729.8449,-478.134807,1949328.093,-5486.333745,115067.8422,11,2,18.89002453,100,129088,43029.3333,117816,39272,0.91267972,1664,554.666667,0.01289043,3522,1174,0.02728371,2020,673.333333,0.01564824,756,252,0.00585647
CONTRA COSTA,1142251,54605,0.274897329,9994087813,0.1207729469,17.21319803,30.86139488,99716,9487053.041,-32214.4939,92437495.82,-351174.8131,5802187.98,13946,3,31.13050598,100,6899160,2299720,4527538,1509179.33,0.65624482,656782,218927.333,0.09519739,69700,23233.3333,0.01010268,1235698,411899.333,0.17910847,40790,13596.6667,0.00591231
DEL NORTE,27495,62144,0.530593072,225894688,0,16.84485079,29.97855972,45283,0,0,0,0,0,0,0,0,0,165806,55268.6667,129654,43218,0.78196205,5604,1868,0.03379854,16044,5348,0.09676369,5294,1764.66667,0.03192888,316,105.333333,0.00190584
EL DORADO,188563,58390,0.452632459,1101313736,0,10.54622312,14.39021314,83377,431429.2956,-1637.964686,4892398.341,-17995.9604,314253.9536,100,2,2.215046264,100,1144536,381512,1017966,339322,0.8894137,11784,3928,0.01029588,15314,5104.66667,0.01338009,53148,17716,0.04643629,2572,857.333333,0.0022472
FRESNO,984521,63368,0.407642153,5391143000,0.5979899497,44.35557894,82.10367007,53969,9599599.949,-12955.08914,99700299.11,-143668.4981,4611106.029,13840,5,9.256733846,100,5952578,1984192.67,4568982,1522994,0.76756357,345452,115150.667,0.05803401,176594,58864.6667,0.02966681,656434,218811.333,0.11027726,16532,5510.66667,0.00277728
GLENN,27976,63764,0.534306275,251081405,0,23.67125796,46.77765166,49633,138160.9516,-127.1709,1605441.415,-1224.0612,75556.00668,14,2,17.48555217,100,168572,56190.6667,150480,50160,0.89267494,2224,741.333333,0.01319318,5362,1787.33333,0.03180837,5138,1712.66667,0.03047956,324,108,0.00192203
HUMBOLDT,135940,62536,0.508712228,1063422798,0,15.2839121,25.79770463,48041,3354852.505,-25700.91734,29424490.55,-169712.3132,3047453.174,4020,3,3.756707289,100,816618,272206,680906,226968.667,0.83381214,11794,3931.33333,0.01444249,52250,17416.6667,0.0639834,23236,7745.33333,0.02845394,2700,900,0.00330632
IMPERIAL,180701,65273,0.483676103,1305614242,0.4838709677,39.58382186,75.38781687,47622,0,0,0,0,0,0,0,0,0,1088774,362924.667,981656,327218.667,0.90161595,36568,12189.3333,0.0335864,26876,8958.66667,0.02468465,23060,7686.66667,0.02117979,2118,706,0.00194531
INYO,17977,55353,0.614476007,240392588,0,18.79896764,35.24404086,57316,4205.905568,-30.41351598,58325.54957,-421.7606899,59918.96966,6,1,68.7418027,100,107706,35902,86282,28760.6667,0.80108815,1238,412.666667,0.01149425,14502,4834,0.13464431,1792,597.333333,0.01663788,174,58,0.00161551
KERN,887641,65073,0.421116981,5607641820,0.4503311258,36.35772393,70.53852945,53350,17486642.54,-59555.63902,178144350.6,-612942.0194,7076841.403,19365,2,7.119472995,100,5362632,1787544,4420734,1473578,0.82435901,334936,111645.333,0.06245739,140974,46991.3333,0.02628821,283786,94595.3333,0.05291916,14730,4910,0.00274679
KINGS,150691,67561,0.459568005,838808094,0.4074074074,38.95330355,74.34733258,57848,253762.1587,-400.2114393,2408085.589,-2454.405255,354477.2204,796,3,0,100,907974,302658,736576,245525.333,0.81123028,66114,22038,0.07281486,28742,9580.66667,0.03165509,39960,13320,0.04401007,3094,1031.33333,0.00340759
LAKE,64195,64357,0.501903671,478399008,0,17.5990331,31.99646866,47040,1137668.104,-5975.679882,12566698.71,-63929.87742,857818.31,173,2,3.924885787,100,385628,128542.667,336498,112166,0.87259743,7942,2647.33333,0.02059498,17020,5673.33333,0.0441358,5254,1751.33333,0.01362453,1172,390.666667,0.0030392
LASSEN,30818,46389,0.562445155,206480533,0,15.8205256,27.35527809,56352,0,0,0,0,0,0,0,0,0,184222,61407.3333,149420,49806.6667,0.81108662,15428,5142.66667,0.08374678,7830,2610,0.04250307,2868,956,0.01556817,1616,538.666667,0.00877203
LOS ANGELES,10081570,59106,0.226484593,76411682804,0.443021767,36.39758777,70.620507,68044,16044995.5,8776.41981,168645100.4,41601.0056,22624454.96,2588,50,25.86058332,60.8743862,60433448,20144482.7,42801868,14267289.3,0.70824799,5423706,1807902,0.08974676,864080,288026.667,0.01429804,9247112,3082370.67,0.15301315,221408,73802.6667,0.00366367
MADERA,155433,61593,0.469575207,817688440,0.4782608696,39.17836861,74.7256905,57585,1657236.628,-3100.062124,17320287.37,-33361.24679,723949.3399,948,3,13.22740122,100,939264,313088,808430,269476.667,0.86070583,39000,13000,0.04152187,41454,13818,0.04413456,23494,7831.33333,0.0250132,2810,936.666667,0.0029917
MARIN,259943,63988,0.376551385,1915528217,0,6.800021201,6.223987893,115246,2927162.412,-17129.49643,28495106.48,-152173.5842,2097869.568,5654,4,18.64402506,100,1556474,518824.667,1331480,443826.667,0.85544635,43534,14511.3333,0.02796963,15410,5136.66667,0.00990058,100782,33594,0.0647502,4150,1383.33333,0.00266628
MARIPOSA,17420,64617,0.556874694,232171960,0,15.1202458,25.37520494,48820,28760.66092,-161.4696778,239814.904,-1355.288699,28083.40266,12,2,16.54311799,100,104044,34681.3333,93142,31047.3333,0.89521741,1306,435.333333,0.01255238,3552,1184,0.0341394,1716,572,0.01649302,198,66,0.00190304
MENDOCINO,87224,60544,0.515868582,758752047,0,16.9170484,30.14882078,51416,561672.436,-3450.333084,5720930.579,-35266.39072,434482.0431,89,2,3.960576168,100,523452,174484,451206,150402,0.86198161,5818,1939.33333,0.01111468,33162,11054,0.06335251,11476,3825.33333,0.02192369,1320,440,0.00252172
MERCED,271382,49839,0.43870777,1666466015,0.7551020408,44.4721416,82.21717745,53672,2551083.084,-3701.118249,29704067.09,-46259.92336,2866496.977,7254,3,59.93892031,100,1645854,548618,1353224,451074.667,0.82220173,64948,21649.3333,0.03946158,40834,13611.3333,0.02481022,128580,42860,0.07812358,6238,2079.33333,0.00379013
MODOC,8907,57068,0.60969562,96893007,0,16.52539825,29.25337369,45507,0,0,0,0,0,0,0,0,0,53034,17678,46940,15646.6667,0.88509258,712,237.333333,0.01342535,2644,881.333333,0.04985481,636,212,0.01199231,180,60,0.00339405
MONO,14310,74878,0.599739529,188643308,0,13.79902457,21.95737167,62260,65451.26563,-411.4445202,721522.1342,-4528.855801,220285.0007,39,1,56.20845741,100,86402,28800.6667,78010,26003.3333,0.90287262,700,233.333333,0.00810166,2490,830,0.02881878,2170,723.333333,0.02511516,304,101.333333,0.00351844
MONTEREY,433410,54906,0.426751382,3671220267,0.04301075269,22.94952193,45.08134695,71015,12002959.97,-54410.06634,103307100.7,-431649.3521,6203220.62,5435,3,28.58594694,100,2605090,868363.333,2158604,719534.667,0.82861014,90542,30180.6667,0.0347558,67582,22527.3333,0.02594229,174772,58257.3333,0.06708866,15820,5273.33333,0.00607273
NAPA,139623,61210,0.439768059,1222227166,0,14.90709121,24.89595157,88596,1555824.716,-4627.906838,16282916.93,-43885.73803,798396.3152,1621,4,6.184048338,100,832822,277607.333,698940,232980,0.83924296,20234,6744.66667,0.02429571,10390,3463.33333,0.01247566,72642,24214,0.08722392,3372,1124,0.00404888
NEVADA,99244,58390,0.462420172,546343616,0,12.93097238,19.98360449,66096,837410.4881,-2478.50075,9274393.77,-24712.01117,601282.5422,268,4,62.48945153,100,597260,199086.667,558000,186000,0.93426648,3590,1196.66667,0.00601078,7520,2506.66667,0.01259083,8388,2796,0.01404413,1194,398,0.00199913
ORANGE,3168044,59877,0.167891882,13906507153,0.1219931271,21.11432815,41.0770589,90234,7688802.223,-285.1340697,85619254.77,8518.686357,4752887.452,1158,3,44.53434975,100,19051908,6350636,13639820,4546606.67,0.71592934,404180,134726.667,0.02121467,195032,65010.6667,0.01023687,4064080,1354693.33,0.21331617,73726,24575.3333,0.00386974
PLACER,385512,57934,0.419322816,2127770556,0,8.681462014,10.19044016,89691,1263567.042,-2962.249962,14311817.95,-30864.63921,814437.5605,1932,4,34.10054772,100,2351548,783849.333,1985032,661677.333,0.84413841,44182,14727.3333,0.01878847,25040,8346.66667,0.0106483,186996,62332,0.07952038,6246,2082,0.00265612
PLUMAS,18660,45546,0.564573053,185792886,0,15.06034749,25.24908564,55359,40911.14603,-405.3387698,462245.86,-4602.579329,32652.81939,5,1,0,100,112416,37472,102034,34011.3333,0.9076466,1178,392.666667,0.01047894,3582,1194,0.03186379,1210,403.333333,0.01076359,178,59.3333333,0.0015834
RIVERSIDE,2411439,57259,0.367669403,13570088323,0.2229580574,27.8028861,55.51771976,67005,3781253.136,-188.4034328,44868145.41,-1218.313325,2230774.946,617,3,12.19003479,100,14662598,4887532.67,11700786,3900262,0.79800224,1058452,352817.333,0.07218721,279752,93250.6667,0.01907929,1035270,345090,0.07060618,65390,21796.6667,0.00445965
SACRAMENTO,1524553,61520,0.287298945,10395684000,0.1388012618,24.41737186,48.71988902,67151,421709.3927,-626.9523308,4819883.698,-5757.084364,172704.5844,469,4,0.08625929866,100,9236210,3078736.67,5830510,1943503.33,0.6312665,1003926,334642,0.10869458,143176,47725.3333,0.0155016,1548606,516202,0.16766682,117844,39281.3333,0.01275891
SAN BENITO,60376,69030,0.504367412,281691310,0,31.28856605,61.74801362,86958,1753063.536,-5411.34908,16645354.41,-44514.80623,1021202.195,2389,3,29.4696701,100,368878,122959.333,324096,108032,0.87859943,5758,1919.33333,0.0156095,11246,3748.66667,0.03048704,13428,4476,0.03640228,1560,520,0.00422904
SAN BERNARDINO,2149031,58211,0.398318883,13659231046,0.4254742547,36.47243713,70.75293227,63362,754773.4838,-491.0181053,6122859.754,-4430.944999,860408.0426,78,3,26.42340306,100,12995566,4331855.33,9973750,3324583.33,0.76747331,1222108,407369.333,0.09404038,267696,89232,0.02059903,1011876,337292,0.07786317,61510,20503.3333,0.00473315
SAN DIEGO,3316073,79853,0.313741722,14446023940,0.06060606061,17.11395319,30.64699205,78980,0,0,0,0,20892804.11,104,8,0,0,19986856,6662285.33,15111224,5037074.67,0.75605808,1106368,368789.333,0.05535478,262926,87642,0.01315495,2487900,829300,0.12447681,116882,38960.6667,0.00584794
SAN FRANCISCO,874961,64631,0.079645896,1457014810,0.06153846154,14.76133906,24.53651154,112449,13683306.83,-49845.39895,126340607.2,-502719.15,33332781.1,2566,10,1.7252794,41.9634864,5280570,1760190,2802952,934317.333,0.53080482,294058,98019.3333,0.05568679,38910,12970,0.00736852,1886092,628697.333,0.35717584,24046,8015.33333,0.00455368
SAN JOAQUIN,742603,63860,0.376179201,4889031329,0.5107913669,39.46248107,75.19233195,64432,8895229.295,-19904.81159,93188601.84,-215672.9028,5825764.78,10759,6,10.52243667,100,4515870,1505290,3006522,1002174,0.66576806,373526,124508.667,0.08271407,88904,29634.6667,0.01968701,766968,255656,0.16983837,36126,12042,0.00799979
SAN LUIS OBISPO,282165,64465,0.445806595,1927680713,0,11.8406507,17.21528566,73518,5222163.605,-20996.17747,54822723.06,-226454.5296,2457194.377,5514,3,6.335269841,100,1697892,565964,1509222,503074,0.88887986,34656,11552,0.02041119,23770,7923.33333,0.01399971,66942,22314,0.03942654,3128,1042.66667,0.00184228
SAN MATEO,767423,69742,0.291916724,5988035519,0.03821656051,13.73634977,21.78711061,122641,7142406.693,-22578.23862,65038012.53,-199120.4682,3572726.369,7546,5,21.4496123,100,4608310,1536103.33,2771070,923690,0.60132022,127358,42452.6667,0.0276366,39352,13117.3333,0.00853936,1381982,460660.667,0.29988911,70348,23449.3333,0.01526547
SANTA BARBARA,444829,77911,0.418740179,2903982473,0,14.62232636,24.15184765,74624,4905189.461,-12491.66492,50488062.91,-119859.3809,2594700.239,3035,4,10.58926275,100,2675154,891718,2288238,762746,0.85536683,64816,21605.3333,0.02422889,57110,19036.6667,0.0213483,159456,53152,0.05960629,6742,2247.33333,0.00252023
SANTA CLARA,1927470,55980,0.297966473,18131549759,0.05107526882,16.75659056,29.73893303,124055,21344354.49,-54701.58427,187672504.5,-448110.8065,11928370.53,14934,5,31.46359366,100,11585398,3861799.33,6153644,2051214.67,0.53115517,327716,109238.667,0.02828699,137844,45948,0.01189808,4433768,1477922.67,0.38270312,53402,17800.6667,0.00460942
SANTA CRUZ,273962,48377,0.372903537,1830683929,0.03846153846,11.75383783,16.93782318,82234,7238027.6,-14865.50682,58736137.17,-166089.506,3910747.618,748,4,48.04704091,100,1643820,547940,1433644,477881.333,0.87214172,23456,7818.66667,0.0142692,30274,10091.3333,0.01841686,84908,28302.6667,0.05165286,3298,1099.33333,0.0020063
SHASTA,179212,86014,0.466950482,1070287414,0,14.01309393,22.47446084,54667,241221.418,-534.3597622,2537109.691,-4811.031701,261477.7778,48,2,12.84612676,100,1078346,359448.667,947066,315688.667,0.878258,12862,4287.33333,0.01192753,34338,11446,0.03184321,33568,11189.3333,0.03112916,2336,778.666667,0.00216628
SIERRA,3040,61491,0.6149941,65142974,0,19.96548266,38.20153866,52148,0,0,0,0,0,0,0,0,0,18008,6002.66667,16780,5593.33333,0.93180809,100,33.3333333,0.00555309,458,152.666667,0.02543314,128,42.6666667,0.00710795,24,8,0.00133274
SISKIYOU,43468,53922,0.557350419,316302971,0,14.69954927,24.30949678,45241,1880.0811,-31.1382,19552.84344,-323.83728,1493.192987,1,1,0,100,261422,87140.6667,225160,75053.3333,0.86128941,3900,1300,0.01491841,13302,4434,0.05088325,3998,1332.66667,0.01529328,914,304.666667,0.00349626
SOLANO,441829,63635,0.377800437,2254970962,0.05208333333,21.7992194,42.64093833,81472,13183336.9,-46073.32188,133410223.9,-433904.898,6473784.405,7465,4,13.43134353,100,2673758,891252.667,1600504,533501.333,0.59859718,396192,132064,0.14817796,33750,11250,0.01262268,427106,142368.667,0.15973996,27636,9212,0.01033601
SONOMA,499772,67001,0.392294571,3532819475,0.0101010101,14.81024382,24.65632488,81018,13795930.37,-44572.84497,153910458.8,-462147.3605,6010490.353,19302,7,4.282693191,100,2990896,996965.333,2600062,866687.333,0.86932545,61184,20394.6667,0.02045675,64838,21612.6667,0.02167845,134476,44825.3333,0.04496178,12022,4007.33333,0.00401953
STANISLAUS,543194,61405,0.393360261,3326438109,0.6489361702,44.07540583,81.64964056,60704,450341.993,-1274.2603,5546281.432,-17261.3906,326271.0732,732,3,32.86738542,100,3287006,1095668.67,2744600,914866.667,0.83498479,113810,37936.6667,0.03462421,65164,21721.3333,0.01982473,198938,66312.6667,0.06052255,30016,10005.3333,0.00913171
SUTTER,96109,67588,0.45473087,590171756,0.04761904762,27.29001288,54.40786984,59050,987009.6068,-1693.655181,10594531.21,-20746.77036,643131.8715,874,3,25.59788052,100,579046,193015.333,422620,140873.333,0.72985566,15606,5202,0.02695123,13634,4544.66667,0.02354563,97828,32609.3333,0.16894685,2466,822,0.00425873
TEHAMA,63912,68489,0.518114144,400630004,0,26.96350594,53.82772102,44514,1253498.241,-2187.445286,14858495.99,-25650.92502,556573.1911,945,3,15.56783734,100,385898,128632.667,348724,116241.333,0.90366885,3934,1311.33333,0.0101944,12822,4274,0.0332264,5508,1836,0.0142732,858,286,0.00222339
TRINITY,12700,46949,0.585870254,173811393,0,8.569741274,9.837306092,40846,0,0,0,0,0,0,0,0,0,75156,25052,65534,21844.6667,0.87197296,550,183.333333,0.00731811,3888,1296,0.0517324,1034,344.666667,0.01375805,164,54.6666667,0.00218213
TULARE,461898,59408,0.436561598,2747585144,0.4487179487,38.0609887,73.2122588,49687,6703678.943,-245.9189229,98907506.42,-1661.90956,1398791.64,1234,2,1.711013673,100,2786184,928728,2458782,819594,0.88249089,60638,20212.6667,0.02176382,77210,25736.6667,0.02771174,110440,36813.3333,0.03963844,6326,2108.66667,0.00227049
TUOLUMNE,54045,59278,0.518851624,476176226,0,21.28900905,41.36713331,60108,226374.0315,-401.9337918,2648835.33,-4672.828807,167004.4081,28,1,10.40197755,100,325682,108560.667,294432,98144,0.90404751,6544,2181.33333,0.02009322,7466,2488.66667,0.0229242,4600,1533.33333,0.01412421,896,298.666667,0.00275115
VENTURA,847263,59542,0.36874757,6232135889,0.04624277457,17.98371115,33.09370665,88131,1247296.486,36738.8059,15324536.25,590469.4104,1837107.805,76,1,0.79150516,100,5086384,1695461.33,4284202,1428067.33,0.84228835,120450,40150,0.02368087,94112,31370.6667,0.01850273,396284,132094.667,0.07791075,14590,4863.33333,0.00286844
YOLO,217352,55398,0.43782709,1146194045,0.09756097561,18.63739569,34.80892925,70228,1292184.374,-2066.493809,14180557.81,-22785.04543,727076.1604,476,3,23.14412475,100,1318190,439396.667,979252,326417.333,0.74287622,38894,12964.6667,0.02950561,23416,7805.33333,0.01776375,196666,65555.3333,0.14919397,7518,2506,0.00570327
YUBA,76360,72547,0.46933823,596778975,0.2142857143,31.54048804,62.23357296,58054,441725.7282,-781.2575886,5060266.646,-10093.91716,202938.3176,1102,3,0,100,465606,155202,366036,122012,0.78614966,20316,6772,0.04363346,13504,4501.33333,0.02900306,33910,11303.3333,0.07282982,2422,807.333333,0.00520182