number,county,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,tot_lcff,no_title1_status,number_of_schools,perc_title1_status,kWh,budget,claims,programs,perc_obf,perc_resource,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,irr,total_pop,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na
1,ALAMEDA,227174,83426,95299,0.3672339264,0.4194978299,229206308,55,396,0.1388888889,141267.6008,75584.28261,38,4,14.58848101,100,0.1055555556,21.5329058,42.0986253,99406,0.270123418,9996562,3332187.33,4978718,1659572.67,0.49804303,1116730,372243.333,0.11171141,107148,35716,0.01071849,3166714,1055571.33,0.31678031,94588,31529.3333,0.00946205
2,ALPINE,70,41,43,0.5857142857,0.6142857143,0,0,3,0,0,0,0,0,0,0,0,11.34335677,15.85319712,63750,0.656044503,6658,2219.33333,4634,1544.66667,0.69600481,18,6,0.00270351,1604,534.666667,0.24091319,120,40,0.01802343,2,0.66666667,0.00030039
3,AMADOR,4166,1522,1664,0.3653384542,0.3994239078,0,0,15,0,25881.36288,19733.38931,4,1,0,100,0,23.25754909,45.75608526,62772,0.502563215,235372,78457.3333,211306,70435.3333,0.89775334,6170,2056.66667,0.02621382,5458,1819.33333,0.02318882,3946,1315.33333,0.01676495,634,211.333333,0.00269361
4,BUTTE,30037,15804,17698,0.5261510803,0.5892066451,36579973,15,87,0.1724137931,0,0,0,0,0,0,0.03921568627,20.03326123,38.36549376,52537,0.434554907,1356442,452147.333,1166438,388812.667,0.85992471,24600,8200,0.01813568,33976,11325.3333,0.02504788,66290,22096.6667,0.0488705,3834,1278,0.00282651
5,CALAVERAS,5315,2427,2641,0.4566321731,0.4968955786,3627998,0,27,0,0,0,0,0,0,0,0,15.18085248,25.55177198,63158,0.509595041,274568,91522.6667,250466,83488.6667,0.91221847,2762,920.666667,0.01005944,5310,1770,0.01933947,4888,1629.33333,0.01780251,700,233.333333,0.00254946
6,COLUSA,4720,2856,3577,0.6050847458,0.7578389831,0,0,21,0,0,0,0,0,0,0,0,27.46890061,54.74839198,59401,0.543578676,129088,43029.3333,117816,39272,0.91267972,1664,554.666667,0.01289043,3522,1174,0.02728371,2020,673.333333,0.01564824,756,252,0.00585647
7,CONTRA COSTA,178177,60301,70321,0.3384331311,0.3946693457,115617686,21,290,0.0724137931,262438.583,58411.07702,11,3,92.27937262,100,0.1207729469,17.21319803,30.86139488,99716,0.274897329,6899160,2299720,4527538,1509179.33,0.65624482,656782,218927.333,0.09519739,69700,23233.3333,0.01010268,1235698,411899.333,0.17910847,40790,13596.6667,0.00591231
8,DEL NORTE,4327,2654,2867,0.6133579847,0.6625837763,5854210,1,15,0.06666666667,0,0,0,0,0,0,0,16.84485079,29.97855972,45283,0.530593072,165806,55268.6667,129654,43218,0.78196205,5604,1868,0.03379854,16044,5348,0.09676369,5294,1764.66667,0.03192888,316,105.333333,0.00190584
9,EL DORADO,31134,8533,9617,0.2740733603,0.3088906019,56643051,6,74,0.08108108108,10574.3742,2731.010371,8,1,0,100,0,10.54622312,14.39021314,83377,0.452632459,1144536,381512,1017966,339322,0.8894137,11784,3928,0.01029588,15314,5104.66667,0.01338009,53148,17716,0.04643629,2572,857.333333,0.0022472
10,FRESNO,207600,133032,154017,0.6408092486,0.7418930636,144131468,17,347,0.04899135447,346043.1304,194390.0926,913,3,9.348929995,100,0.5979899497,44.35557894,82.10367007,53969,0.407642153,5952578,1984192.67,4568982,1522994,0.76756357,345452,115150.667,0.05803401,176594,58864.6667,0.02966681,656434,218811.333,0.11027726,16532,5510.66667,0.00277728
11,GLENN,6042,3492,4172,0.5779543198,0.6904998345,7532287,2,27,0.07407407407,0,0,0,0,0,0,0,23.67125796,46.77765166,49633,0.534306275,168572,56190.6667,150480,50160,0.89267494,2224,741.333333,0.01319318,5362,1787.33333,0.03180837,5138,1712.66667,0.03047956,324,108,0.00192203
12,HUMBOLDT,18040,9583,10508,0.5312084257,0.5824833703,23179716,11,90,0.1222222222,1413.3,2957.462378,4,1,0,100,0,15.2839121,25.79770463,48041,0.508712228,816618,272206,680906,226968.667,0.83381214,11794,3931.33333,0.01444249,52250,17416.6667,0.0639834,23236,7745.33333,0.02845394,2700,900,0.00330632
13,IMPERIAL,37375,25622,28891,0.6855384615,0.7730033445,5936199,1,70,0.01428571429,0,0,0,0,0,0,0.4838709677,39.58382186,75.38781687,47622,0.483676103,1088774,362924.667,981656,327218.667,0.90161595,36568,12189.3333,0.0335864,26876,8958.66667,0.02468465,23060,7686.66667,0.02117979,2118,706,0.00194531
14,INYO,4476,2817,3083,0.6293565684,0.6887846291,16981582,3,25,0.12,0,0,0,0,0,0,0,18.79896764,35.24404086,57316,0.614476007,107706,35902,86282,28760.6667,0.80108815,1238,412.666667,0.01149425,14502,4834,0.13464431,1792,597.333333,0.01663788,174,58,0.00161551
15,KERN,198635,128937,144286,0.6491152113,0.7263875953,185586124,10,268,0.03731343284,142286.913,158830.8297,30,4,40.65149003,100,0.4503311258,36.35772393,70.53852945,53350,0.421116981,5362632,1787544,4420734,1473578,0.82435901,334936,111645.333,0.06245739,140974,46991.3333,0.02628821,283786,94595.3333,0.05291916,14730,4910,0.00274679
16,KINGS,29951,19206,21091,0.6412473707,0.7041834997,24100997,4,66,0.06060606061,0,0,0,0,0,0,0.4074074074,38.95330355,74.34733258,57848,0.459568005,907974,302658,736576,245525.333,0.81123028,66114,22038,0.07281486,28742,9580.66667,0.03165509,39960,13320,0.04401007,3094,1031.33333,0.00340759
17,LAKE,9850,6412,7140,0.650964467,0.7248730964,2440620,2,38,0.05263157895,0,0,0,0,0,0,0,17.5990331,31.99646866,47040,0.501903671,385628,128542.667,336498,112166,0.87259743,7942,2647.33333,0.02059498,17020,5673.33333,0.0441358,5254,1751.33333,0.01362453,1172,390.666667,0.0030392
18,LASSEN,3811,1607,1862,0.4216741013,0.4885856731,5079108,2,21,0.09523809524,0,0,0,0,0,0,0,15.8205256,27.35527809,56352,0.562445155,184222,61407.3333,149420,49806.6667,0.81108662,15428,5142.66667,0.08374678,7830,2610,0.04250307,2868,956,0.01556817,1616,538.666667,0.00877203
19,LOS ANGELES,1435803,882790,989638,0.6148406153,0.6892575096,2282291455,310,2285,0.1356673961,6410629.05,3929626.72,2396,9,8.84370532,100,0.443021767,36.39758777,70.620507,68044,0.226484593,60433448,20144482.7,42801868,14267289.3,0.70824799,5423706,1807902,0.08974676,864080,288026.667,0.01429804,9247112,3082370.67,0.15301315,221408,73802.6667,0.00366367
20,MADERA,32148,22817,25615,0.7097486624,0.7967836257,24712417,7,79,0.08860759494,0,0,0,0,0,0,0.4782608696,39.17836861,74.7256905,57585,0.469575207,939264,313088,808430,269476.667,0.86070583,39000,13000,0.04152187,41454,13818,0.04413456,23494,7831.33333,0.0250132,2810,936.666667,0.0029917
21,MARIN,33518,8533,9610,0.2545796289,0.2867116176,6957586,3,87,0.03448275862,42276.69312,27472.32371,5,3,0,100,0,6.800021201,6.223987893,115246,0.376551385,1556474,518824.667,1331480,443826.667,0.85544635,43534,14511.3333,0.02796963,15410,5136.66667,0.00990058,100782,33594,0.0647502,4150,1383.33333,0.00266628
22,MARIPOSA,1870,989,1211,0.5288770053,0.6475935829,1205846,1,15,0.06666666667,0,0,0,0,0,0,0,15.1202458,25.37520494,48820,0.556874694,104044,34681.3333,93142,31047.3333,0.89521741,1306,435.333333,0.01255238,3552,1184,0.0341394,1716,572,0.01649302,198,66,0.00190304
23,MENDOCINO,13217,8663,9849,0.6554437467,0.7451766664,11184103,10,66,0.1515151515,0,0,0,0,0,0,0,16.9170484,30.14882078,51416,0.515868582,523452,174484,451206,150402,0.86198161,5818,1939.33333,0.01111468,33162,11054,0.06335251,11476,3825.33333,0.02192369,1320,440,0.00252172
24,MERCED,59531,40567,45945,0.6814432817,0.7717827686,5625458,0,106,0,0,0,0,0,0,0,0.7551020408,44.4721416,82.21717745,53672,0.43870777,1645854,548618,1353224,451074.667,0.82220173,64948,21649.3333,0.03946158,40834,13611.3333,0.02481022,128580,42860,0.07812358,6238,2079.33333,0.00379013
25,MODOC,1394,874,941,0.6269727403,0.675035868,0,0,12,0,0,0,0,0,0,0,0,16.52539825,29.25337369,45507,0.60969562,53034,17678,46940,15646.6667,0.88509258,712,237.333333,0.01342535,2644,881.333333,0.04985481,636,212,0.01199231,180,60,0.00339405
26,MONO,1933,950,1137,0.4914640455,0.5882048629,2791106,0,13,0,8572.14336,56166.42263,5,2,0,100,0,13.79902457,21.95737167,62260,0.599739529,86402,28800.6667,78010,26003.3333,0.90287262,700,233.333333,0.00810166,2490,830,0.02881878,2170,723.333333,0.02511516,304,101.333333,0.00351844
27,MONTEREY,77370,50608,56283,0.6541036577,0.727452501,19781317,6,135,0.04444444444,521655.1106,299173.9807,25,2,0,100,0.04301075269,22.94952193,45.08134695,71015,0.426751382,2605090,868363.333,2158604,719534.667,0.82861014,90542,30180.6667,0.0347558,67582,22527.3333,0.02594229,174772,58257.3333,0.06708866,15820,5273.33333,0.00607273
28,NAPA,20027,8116,9673,0.4052529086,0.4829979528,8030172,1,44,0.02272727273,158.24,1252.071157,2,2,0,100,0,14.90709121,24.89595157,88596,0.439768059,832822,277607.333,698940,232980,0.83924296,20234,6744.66667,0.02429571,10390,3463.33333,0.01247566,72642,24214,0.08722392,3372,1124,0.00404888
29,NEVADA,11524,5086,5773,0.4413398126,0.5009545297,41322577,4,42,0.09523809524,0,0,0,0,0,0,0,12.93097238,19.98360449,66096,0.462420172,597260,199086.667,558000,186000,0.93426648,3590,1196.66667,0.00601078,7520,2506.66667,0.01259083,8388,2796,0.01404413,1194,398,0.00199913
30,ORANGE,473446,204355,231136,0.4316331746,0.4881992878,191566183,30,640,0.046875,3079804.842,1556537.8,448,9,4.113843662,100,0.1219931271,21.11432815,41.0770589,90234,0.167891882,19051908,6350636,13639820,4546606.67,0.71592934,404180,134726.667,0.02121467,195032,65010.6667,0.01023687,4064080,1354693.33,0.21331617,73726,24575.3333,0.00386974
31,PLACER,75217,17831,21117,0.2370607708,0.2807477033,80424738,13,136,0.09558823529,365.30568,1173.56944,1,1,0,100,0,8.681462014,10.19044016,89691,0.419322816,2351548,783849.333,1985032,661677.333,0.84413841,44182,14727.3333,0.01878847,25040,8346.66667,0.0106483,186996,62332,0.07952038,6246,2082,0.00265612
32,PLUMAS,2219,978,1263,0.4407390717,0.5691753042,3051575,1,14,0.07142857143,0,0,0,0,0,0,0,15.06034749,25.24908564,55359,0.564573053,112416,37472,102034,34011.3333,0.9076466,1178,392.666667,0.01047894,3582,1194,0.03186379,1210,403.333333,0.01076359,178,59.3333333,0.0015834
33,RIVERSIDE,431395,239719,280868,0.5556833065,0.6510692057,277599853,21,515,0.04077669903,1702072.959,1570852.061,2543,7,0,100,0.2229580574,27.8028861,55.51771976,67005,0.367669403,14662598,4887532.67,11700786,3900262,0.79800224,1058452,352817.333,0.07218721,279752,93250.6667,0.01907929,1035270,345090,0.07060618,65390,21796.6667,0.00445965
34,SACRAMENTO,249411,129576,149979,0.519528008,0.6013327399,346099807,33,391,0.08439897698,0,8225.002498,2,2,0,100,0.1388012618,24.41737186,48.71988902,67151,0.287298945,9236210,3078736.67,5830510,1943503.33,0.6312665,1003926,334642,0.10869458,143176,47725.3333,0.0155016,1548606,516202,0.16766682,117844,39281.3333,0.01275891
35,SAN BENITO,11546,5773,6493,0.5,0.5623592586,4975648,1,29,0.03448275862,42790.131,23697.01456,2,1,0,100,0,31.28856605,61.74801362,86958,0.504367412,368878,122959.333,324096,108032,0.87859943,5758,1919.33333,0.0156095,11246,3748.66667,0.03048704,13428,4476,0.03640228,1560,520,0.00422904
36,SAN BERNARDINO,406970,257668,291418,0.6331375777,0.7160675234,355644800,44,582,0.07560137457,2543557.414,1906234.522,229,7,3.037484216,100,0.4254742547,36.47243713,70.75293227,63362,0.398318883,12995566,4331855.33,9973750,3324583.33,0.76747331,1222108,407369.333,0.09404038,267696,89232,0.02059903,1011876,337292,0.07786317,61510,20503.3333,0.00473315
37,SAN DIEGO,502471,207826,251689,0.4136079495,0.5009025396,773446194,119,791,0.1504424779,4316482.438,1117069.969,648,5,0,100,0.06060606061,17.11395319,30.64699205,78980,0.313741722,19986856,6662285.33,15111224,5037074.67,0.75605808,1106368,368789.333,0.05535478,262926,87642,0.01315495,2487900,829300,0.12447681,116882,38960.6667,0.00584794
38,SAN FRANCISCO,61729,25368,29787,0.4109575726,0.4825446711,77682534,15,130,0.1153846154,40527.441,79443.0833,19,3,0,100,0.06153846154,14.76133906,24.53651154,112449,0.079645896,5280570,1760190,2802952,934317.333,0.53080482,294058,98019.3333,0.05568679,38910,12970,0.00736852,1886092,628697.333,0.35717584,24046,8015.33333,0.00455368
39,SAN JOAQUIN,152358,83446,94388,0.5476968718,0.6195145644,217082828,27,245,0.1102040816,32780,8766.193715,4,1,0,100,0.5107913669,39.46248107,75.19233195,64432,0.376179201,4515870,1505290,3006522,1002174,0.66576806,373526,124508.667,0.08271407,88904,29634.6667,0.01968701,766968,255656,0.16983837,36126,12042,0.00799979
40,SAN LUIS OBISPO,34391,13132,15060,0.3818440871,0.4379052659,6637469,2,86,0.02325581395,0,0,0,0,0,0,0,11.8406507,17.21528566,73518,0.445806595,1697892,565964,1509222,503074,0.88887986,34656,11552,0.02041119,23770,7923.33333,0.01399971,66942,22314,0.03942654,3128,1042.66667,0.00184228
41,SAN MATEO,93408,26485,30627,0.2835410243,0.3278841213,73213240,13,190,0.06842105263,191159.42,65157.52263,16,3,0,100,0.03821656051,13.73634977,21.78711061,122641,0.291916724,4608310,1536103.33,2771070,923690,0.60132022,127358,42452.6667,0.0276366,39352,13117.3333,0.00853936,1381982,460660.667,0.29988911,70348,23449.3333,0.01526547
42,SANTA BARBARA,69006,37361,42828,0.5414166884,0.6206416833,41392176,13,126,0.1031746032,19267.85838,16313.16141,10,4,0,100,0,14.62232636,24.15184765,74624,0.418740179,2675154,891718,2288238,762746,0.85536683,64816,21605.3333,0.02422889,57110,19036.6667,0.0213483,159456,53152,0.05960629,6742,2247.33333,0.00252023
43,SANTA CLARA,263219,76461,91932,0.2904843495,0.3492605017,299584102,45,438,0.102739726,148914.5028,115106.2649,52,5,0,100,0.05107526882,16.75659056,29.73893303,124055,0.297966473,11585398,3861799.33,6153644,2051214.67,0.53115517,327716,109238.667,0.02828699,137844,45948,0.01189808,4433768,1477922.67,0.38270312,53402,17800.6667,0.00460942
44,SANTA CRUZ,40545,19804,21537,0.4884449377,0.5311875694,62412355,5,86,0.05813953488,26505.76203,15932.22591,11,1,100,100,0.03846153846,11.75383783,16.93782318,82234,0.372903537,1643820,547940,1433644,477881.333,0.87214172,23456,7818.66667,0.0142692,30274,10091.3333,0.01841686,84908,28302.6667,0.05165286,3298,1099.33333,0.0020063
45,SHASTA,27097,13306,14898,0.4910506698,0.5498025612,41910191,13,102,0.1274509804,0,0,0,0,0,0,0,14.01309393,22.47446084,54667,0.466950482,1078346,359448.667,947066,315688.667,0.878258,12862,4287.33333,0.01192753,34338,11446,0.03184321,33568,11189.3333,0.03112916,2336,778.666667,0.00216628
46,SIERRA,432,185,199,0.4282407407,0.4606481481,0,0,5,0,0,0,0,0,0,0,0,19.96548266,38.20153866,52148,0.6149941,18008,6002.66667,16780,5593.33333,0.93180809,100,33.3333333,0.00555309,458,152.666667,0.02543314,128,42.6666667,0.00710795,24,8,0.00133274
47,SISKIYOU,6066,3499,3972,0.5768216288,0.6547972305,6743387,2,43,0.04651162791,0,0,0,0,0,0,0,14.69954927,24.30949678,45241,0.557350419,261422,87140.6667,225160,75053.3333,0.86128941,3900,1300,0.01491841,13302,4434,0.05088325,3998,1332.66667,0.01529328,914,304.666667,0.00349626
48,SOLANO,62980,26344,31404,0.4182915211,0.4986344871,46718215,7,110,0.06363636364,109050.7476,58765.52936,16,2,0,100,0.05208333333,21.7992194,42.64093833,81472,0.377800437,2673758,891252.667,1600504,533501.333,0.59859718,396192,132064,0.14817796,33750,11250,0.01262268,427106,142368.667,0.15973996,27636,9212,0.01033601
49,SONOMA,68198,25416,30753,0.3726795507,0.4509369776,163918885,19,208,0.09134615385,22083.5684,12346.99024,11,2,0,100,0.0101010101,14.81024382,24.65632488,81018,0.392294571,2990896,996965.333,2600062,866687.333,0.86932545,61184,20394.6667,0.02045675,64838,21612.6667,0.02167845,134476,44825.3333,0.04496178,12022,4007.33333,0.00401953
50,STANISLAUS,110372,65779,74195,0.5959754286,0.6722266517,89254817,11,203,0.05418719212,0,1742.39,12,1,0,100,0.6489361702,44.07540583,81.64964056,60704,0.393360261,3287006,1095668.67,2744600,914866.667,0.83498479,113810,37936.6667,0.03462421,65164,21721.3333,0.01982473,198938,66312.6667,0.06052255,30016,10005.3333,0.00913171
51,SUTTER,23308,12942,14897,0.5552599966,0.6391367771,53768190,8,46,0.1739130435,8252.878,13085.88107,7,2,0,100,0.04761904762,27.29001288,54.40786984,59050,0.45473087,579046,193015.333,422620,140873.333,0.72985566,15606,5202,0.02695123,13634,4544.66667,0.02354563,97828,32609.3333,0.16894685,2466,822,0.00425873
52,TEHAMA,11107,6997,8026,0.6299630863,0.7226073647,4041014,1,45,0.02222222222,69295,47175.44933,10,2,0,100,0,26.96350594,53.82772102,44514,0.518114144,385898,128632.667,348724,116241.333,0.90366885,3934,1311.33333,0.0101944,12822,4274,0.0332264,5508,1836,0.0142732,858,286,0.00222339
53,TRINITY,1579,901,1070,0.5706143129,0.6776440785,650651,1,18,0.05555555556,0,0,0,0,0,0,0,8.569741274,9.837306092,40846,0.585870254,75156,25052,65534,21844.6667,0.87197296,550,183.333333,0.00731811,3888,1296,0.0517324,1034,344.666667,0.01375805,164,54.6666667,0.00218213
54,TULARE,105028,72879,80332,0.6939006741,0.7648627033,89491857,7,192,0.03645833333,233476.2846,77860.76869,9,5,0,100,0.4487179487,38.0609887,73.2122588,49687,0.436561598,2786184,928728,2458782,819594,0.88249089,60638,20212.6667,0.02176382,77210,25736.6667,0.02771174,110440,36813.3333,0.03963844,6326,2108.66667,0.00227049
55,TUOLUMNE,6042,2584,2900,0.427672956,0.4799735187,6428602,1,25,0.04,0,0,0,0,0,0,0,21.28900905,41.36713331,60108,0.518851624,325682,108560.667,294432,98144,0.90404751,6544,2181.33333,0.02009322,7466,2488.66667,0.0229242,4600,1533.33333,0.01412421,896,298.666667,0.00275115
56,VENTURA,135291,58826,70930,0.4348108891,0.5242772986,69723950,12,218,0.05504587156,1371597.361,891071.1465,332,8,2.50934995,100,0.04624277457,17.98371115,33.09370665,88131,0.36874757,5086384,1695461.33,4284202,1428067.33,0.84228835,120450,40150,0.02368087,94112,31370.6667,0.01850273,396284,132094.667,0.07791075,14590,4863.33333,0.00286844
57,YOLO,30533,13195,14982,0.4321553729,0.4906822127,24241319,4,66,0.06060606061,0,0,0,0,0,0,0.09756097561,18.63739569,34.80892925,70228,0.43782709,1318190,439396.667,979252,326417.333,0.74287622,38894,12964.6667,0.02950561,23416,7805.33333,0.01776375,196666,65555.3333,0.14919397,7518,2506,0.00570327
58,YUBA,14746,9030,10096,0.6123694561,0.6846602468,14878844,3,44,0.06818181818,0,0,0,0,0,0,0.2142857143,31.54048804,62.23357296,58054,0.46933823,465606,155202,366036,122012,0.78614966,20316,6772,0.04363346,13504,4501.33333,0.02900306,33910,11303.3333,0.07282982,2422,807.333333,0.00520182