PA,PrgID,ProgramName,PrimarySector,Sector,BP Sector,ProgramImplementer,ProgramCategory,StatewideProgram,ImplementationContractor,ProgramManager,StartYear,EndYear,Resource_Flag,NonResource_Flag,Deemed_Flag,Custom_Flag,Upstream_Flag,Midstream_Flag,Downstream_Flag,DirectInstall,Audit_Flag,Financing,ParentProgram,Exclude_From_Budget,Exclude_From_CE
PGE,PGE210112,School Energy Efficiency,Commercial,Commercial (Com),Public: 1.000000,Third/Local Party,Other,,Resource Solutions Group,Karine McClosky,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,TRUE,None,Commercial Third Party Programs,FALSE,FALSE
PGE,PGE210125,California Preschool Energy Efficiency Program,Commercial,Commercial (Com),Public: 1.000000,Third/Local Party,Other,,Low Income Investment Fund,,2016,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No,TRUE,None,Commercial Third Party Programs,FALSE,FALSE
PGE,PGE210126,K-12 Private Schools and Colleges Audit Retro,Commercial,Commercial (Com),Public: 1.000000,Third/Local Party,Other,,Matrix Energy Services Inc.,Karine McClosky,2016,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Yes,TRUE,None,Commercial Third Party Programs,FALSE,FALSE
PGE,PGE210135,Water Infrastructure and System Efficiency,Industrial,Industrial (Ind),Public: 1.000000,Third/Local Party,Other,,Lincus,Andrea Porter,2016,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,TRUE,None,Industrial Third Party Programs,FALSE,FALSE
PGE,PGE210139,SEI Energize Schools Program,Commercial,Commercial (Com),Public: 1.000000,Third/Local Party,Market Education Outreach,,SEI,Karine McClosky,2016,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Commercial Third Party Programs,FALSE,FALSE
PGE,PGE21025,California Wastewater Process Optimization,Industrial,Industrial (Ind),Public: 1.000000,Third/Local Party,Other,,Quantum Energy Services and Technologies Inc.,Andrea Porter,2016,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,TRUE,None,Industrial Third Party Programs,FALSE,FALSE
PGE,PGE2110011,California Community Colleges,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,Billy Roderick,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,TRUE,None,Institutional Partnerships,FALSE,FALSE
PGE,PGE2110012,University of California/California State University,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,Dave Hather,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,TRUE,None,Institutional Partnerships,FALSE,FALSE
PGE,PGE2110013,State of California,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,Dave Hather,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,TRUE,None,Institutional Partnerships,FALSE,FALSE
PGE,PGE2110014,Department of Corrections and Rehabilitation,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,Dave Hather,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,TRUE,None,Institutional Partnerships,FALSE,FALSE
PGE,PGE2110051,Local Government Energy Action Resources (LGEAR),Public,Residential (Res),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Master Government Partnership,FALSE,FALSE
PGE,PGE2110052,Strategic Energy Resources,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Market Education Outreach,,,,2016,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Master Government Partnership,FALSE,FALSE
PGE,PGE211007,Association of Monterey Bay Area Governments (AMBAG),Public,Commercial (Com),"Public: 0.400000, Agricultural: 0.050000, Commercial: 0.530000, Industrial: 0.020000",Local Government Partnership,Government Partnerships,,,Mike Foster,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211009,East Bay,Public,Commercial (Com),"Public: 0.400000, Agricultural: 0.030000, Commercial: 0.560000, Industrial: 0.010000",Local Government Partnership,Government Partnerships,,,Brendan Havenar-Daughton,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211010,Fresno,Public,Commercial (Com),"Public: 0.080000, Agricultural: 0.030000, Commercial: 0.860000, Industrial: 0.030000",Local Government Partnership,Government Partnerships,,,Steve Newvine,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211011,Kern,Public,Commercial (Com),"Public: 0.270000, Commercial: 0.680000, Industrial: 0.050000",Local Government Partnership,Government Partnerships,,,Dave Christensen,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211012,Madera,Public,Commercial (Com),"Public: 0.060000, Agricultural: 0.050000, Commercial: 0.840000, Industrial: 0.050000",Local Government Partnership,Government Partnerships,,,Steve Newvine,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211013,Marin County,Public,Commercial (Com),"Public: 0.530000, Agricultural: 0.010000, Commercial: 0.440000, Industrial: 0.020000",Local Government Partnership,Government Partnerships,,,Brendan Havenar-Daughton,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211014,Mendocino/Lake County,Public,Commercial (Com),"Public: 0.280000, Commercial: 0.680000, Industrial: 0.040000",Local Government Partnership,Government Partnerships,,,Eva Chu,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211015,Napa County,Public,Commercial (Com),"Public: 0.070000, Agricultural: 0.540000, Commercial: 0.310000, Industrial: 0.080000",Local Government Partnership,Government Partnerships,,,Eva Chu,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211016,Redwood Coast,Public,Commercial (Com),"Public: 0.360000, Agricultural: 0.010000, Commercial: 0.590000, Industrial: 0.040000",Local Government Partnership,Government Partnerships,,Redwood Coast Energy Authority,Will Quinn,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211018,San Luis Obispo County,Public,Commercial (Com),"Public: 0.020000, Agricultural: 0.030000, Commercial: 0.810000, Industrial: 0.140000",Local Government Partnership,Government Partnerships,,,Bryce Dias,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211019,San Mateo County,Public,Commercial (Com),"Public: 0.760000, Commercial: 0.220000, Industrial: 0.020000",Local Government Partnership,Government Partnerships,,,Mike Foster,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211020,Santa Barbara,Public,Commercial (Com),"Commercial: 0.700000, Industrial: 0.300000",Local Government Partnership,Government Partnerships,,,Bryce Dias,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211021,Sierra Nevada,Public,Commercial (Com),"Public: 0.730000, Agricultural: 0.010000, Commercial: 0.260000",Local Government Partnership,Government Partnerships,,Sierra Business Council,Kate Schulenberg,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211022,Sonoma County,Public,Commercial (Com),"Public: 0.050000, Agricultural: 0.100000, Commercial: 0.820000, Industrial: 0.030000",Local Government Partnership,Government Partnerships,,,Eva Chu,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211023,Silicon Valley,Public,Commercial (Com),"Public: 0.070000, Agricultural: 0.230000, Commercial: 0.630000, Industrial: 0.070000",Local Government Partnership,Government Partnerships,,,Mike Foster,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211024,San Francisco,Public,Commercial (Com),"Public: 0.020000, Commercial: 0.970000, Industrial: 0.010000",Local Government Partnership,Government Partnerships,,City of San Francisco,Tonya Redfield,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211026,North Valley,Public,Residential (Res),"Public: 0.290000, Agricultural: 0.040000, Commercial: 0.530000, Industrial: 0.140000",Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211027,Sutter Buttes,Public,Residential (Res),"Agricultural: 0.020000, Commercial: 0.770000, Industrial: 0.210000",Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211028,Yolo,Public,Residential (Res),"Public: 0.310000, Agricultural: 0.080000, Commercial: 0.540000, Industrial: 0.070000",Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211029,Solano,Public,Residential (Res),"Public: 0.110000, Agricultural: 0.010000, Commercial: 0.790000, Industrial: 0.090000",Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211030,Northern San Joaquin Valley,Public,Residential (Res),"Public: 0.010000, Agricultural: 0.020000, Commercial: 0.950000, Industrial: 0.020000",Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE211031,Valley Innovative Energy Watch (VIEW),Public,Residential (Res),"Public: 0.160000, Commercial: 0.690000, Industrial: 0.150000",Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,None,Government Partnership Programs,FALSE,FALSE
PGE,PGE_3P_Pub,New 3P Placeholder - Public,Public,Commercial (Com),Public: 1.000000,Third/Local Party,Other,,,,2020,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partial,FALSE,None,Public Third Party Programs,FALSE,FALSE
PGE,PGE_3P_Pub_LGP,New 3P Placeholder - Public LGP,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Other,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_001,Central Coast Leaders in Energy Action Program,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_002,Marin Energy Watch Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_003,Redwood Coast Energy Watch,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_004,Central California Energy Watch,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_005,San Mateo County Energy Watch Program,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_006,Energy Access SF,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_007,Sierra Nevada Energy Watch,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_008,Sonoma Public Energy,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2020,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,Public LGP Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_009,Government and K-12 Comprehensive Program,Public,Commercial (Com),Public: 1.000000,Third/Local Party,Other,,,,2020,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,FALSE,None,Public Third Party Programs,FALSE,FALSE
PGE,PGE_Pub_010,RAPIDS Wastewater Treatment Optimization Program,Public,Commercial (Com),Public: 1.000000,Third/Local Party,Other,,,,2020,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,FALSE,None,Public Third Party Programs,FALSE,FALSE
PGE,PGE_SW_IP_Gov,Institutional Partnerships: DGS and DoC,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,,2020,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,FALSE,None,Institutional Partnerships,FALSE,FALSE
PGE,PGE_SW_IP_Gov_PA,Institutional Partnerships: DGS and DoC - PGE Costs,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,,2020,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,FALSE,None,Institutional Partnerships,FALSE,FALSE
SCE,SCE-13-L-002A,City of Beaumont Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002B,City of Long Beach Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002C,City of Redlands Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Joanna Chang,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002D,City of Santa Ana Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Robert Carbajal,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002E,City of Simi Valley Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Bernard Adebayo-Ige,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002F,Gateway Cities Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002G,Community Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002H,Eastern Sierra Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002I,Energy Leader Partnership Strategic Support,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Christopher Malotte,2016,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,TRUE,None,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002J,Desert Cities Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002K,Kern County Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002L,Orange County Cities Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002M,San Gabriel Valley Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002N,San Joaquin Valley Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002O,South Bay Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002P,South Santa Barbara County Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Bernard Adebayo-Ige,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002Q,Ventura County Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Bernard Adebayo-Ige,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002R,Western Riverside Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002Rollup,Energy Leader Partnership Program,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Robert Carbajal,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002S,High Desert Regional Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002T,West Side Community Energy Leader Partnership,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Partial,TRUE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002U,Local Government Strategic Planning Pilot Program,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,TRUE,None,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002V,North Orange County Cities,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Scot Mann,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,FALSE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002W,San Bernardino Association of Governments,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,William Rock,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,FALSE,OBF,Energy Leader Partnership Program,FALSE,FALSE
SCE,SCE-13-L-002Y,Grandfathered Street Lights,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,,,Robert Carbajal,2018,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No,FALSE,None,,FALSE,TRUE
SCE,SCE-13-L-003A,California Community Colleges Energy Efficiency Partnership,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,George Coronel,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,TRUE,OBF,Institutional and Government Core Energy Efficiency Partnership,FALSE,FALSE
SCE,SCE-13-L-003B,California Dept. of Corrections and Rehabilitation EE Partnership,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,,,George Coronel,2016,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,TRUE,OBF,Institutional and Government Core Energy Efficiency Partnership,FALSE,FALSE
